Time,StepCount,Controlx,Controly,ControlMz
0,0,0,0,0
1,25,-0,-0,-0
2,50,-182.311,9.12211,-262.695
3,75,-90.3994,-6.98442,-912.613
4,100,1306.17,-22.7991,-406.285
5,125,2063.1,35.6903,320.013
6,150,3644.96,-8.92177,922.983
7,175,5047.3,12.5762,730.148
8,200,5862.23,30.725,257.656
9,225,7050.16,6.96036,105.219
10,250,8243.79,31.1861,-748.83
11,275,9889.43,9.04986,-1135.49
12,300,12113.4,16.4952,-363.165
13,325,15005,38.4535,1509.49
14,350,18004.4,37.8396,3216.32
15,375,20132.8,49.8698,3824.43
16,400,21174.5,25.3572,3853.27
17,425,21850.3,16.4921,3209.69
18,450,23113.7,25.9813,2270.15
19,475,24960,14.1105,2032.86
20,500,27174.7,14.6059,2928.2
21,525,29405.4,29.4006,4524.71
22,550,31584.6,28.8096,6032.76
23,575,33399.4,31.6896,6775.83
24,600,34490.9,40.6357,6780.23
25,625,35274,22.2901,6852.87
26,650,35936.4,42.6597,6387.47
27,675,36523.6,53.1384,5707.79
28,700,37595.1,33.0613,5539.41
29,725,39064.2,56.8116,6158.11
30,750,40427.8,62.767,7353.82
31,775,41562.6,58.6179,8588.88
32,800,42219.5,79.2355,9251.73
33,825,42047.3,71.6327,9440.96
34,850,40984,65.885,9040.09
35,875,39615.3,63.8347,8300.22
36,900,38759,59.0399,8114.25
37,925,38548.4,66.6466,9097.01
38,950,38317.3,80.2095,10840
39,975,37465.2,67.857,12297.3
40,1000,36026.1,65.8566,12797.9
41,1025,34489.8,67.7249,12636
42,1050,33247.5,63.4858,12169.2
43,1075,31985.1,65.1092,11576.9
44,1100,30785,51.1494,11596.2
45,1125,29700,66.0872,12101.3
46,1150,29102.5,68.1097,12612.4
47,1175,29335.6,47.6817,13339.1
48,1200,29515.7,75.7031,14193.3
49,1225,29209.5,72.2512,14803
50,1250,28650.3,68.2824,14630.9
51,1275,27886,81.8597,13675.6
52,1300,27122,64.1353,12876.8
53,1325,26794,69.0858,12499.7
54,1350,27178.8,79.9994,13166.6
55,1375,28040.2,84.7734,14877.6
56,1400,28390.3,104.192,16405.3
57,1425,27540.5,97.0757,17058.1
58,1450,26046,84.6343,16748.6
59,1475,24763.4,102.242,15477.1
60,1500,24207.8,96.2665,14403.6
61,1525,24336.2,94.6178,14017
62,1550,24762,113.517,14409.6
63,1575,25264.4,105.292,15378.7
64,1600,25383.2,120.292,16157
65,1625,25227.3,119.655,16423.1
66,1650,25277.6,105.098,16279.7
67,1675,25017.9,129.828,15313.1
68,1700,24680.2,120.252,14313.6
69,1725,24911,116.838,13286.5
70,1750,25522.6,126.339,12380.2
71,1775,26483.4,115.738,12346
72,1800,27765.5,124.792,13417.1
73,1825,28891.8,140.325,14583.4
74,1850,29174.7,133.779,14927.3
75,1875,28307,124.668,14313.7
76,1900,27006.1,112.454,13208.3
77,1925,26342,111.834,12010
78,1950,26514.4,115.016,11365.4
79,1975,26963.7,105.504,11754.6
80,2000,27229.5,104.478,12771.9
81,2025,27125.4,104.962,13541.5
82,2050,26993.6,89.7623,13615.5
83,2075,26555.3,94.8514,12782.4
84,2100,25760.7,70.6648,12053.4
85,2125,24929.7,62.1085,11453.2
86,2150,24251.3,78.0441,10556.9
87,2175,24322.3,45.068,9912.74
88,2200,25090,42.8388,10212.9
89,2225,25840.2,58.9881,11099.5
90,2250,26291.5,36.8058,11674.5
91,2275,26324,42.5605,11253.5
92,2300,25823.9,35.5141,10445.6
93,2325,24955.1,15.178,9571.96
94,2350,24223.6,15.5335,8507.65
95,2375,24220,5.10104,8229.47
96,2400,24908.8,6.80934,9342.95
97,2425,25378,26.6188,10922
98,2450,24971,6.68579,11721.6
99,2475,23800.5,-3.00908,11304.7
100,2500,22552.1,1.9186,10195.8
101,2525,21859.3,-9.91218,9226
102,2550,21648.8,-7.68952,8385.04
103,2575,21716,-17.0282,8203.1
104,2600,21762.2,-14.8681,8809.74
105,2625,21581.3,-3.01986,9451.12
106,2650,21911.6,-25.6799,9810.62
107,2675,22364.9,-15.5228,9703.84
108,2700,22231.5,-10.3177,9205.69
109,2725,22011.4,-24.2531,8462.97
110,2750,21923.2,-15.5007,7183.5
111,2775,22001.9,-30.1808,6122.07
112,2800,22568.8,-36.9711,5986.84
113,2825,23749.9,-21.9743,7068.79
114,2850,25144.3,-17.0479,8513.56
115,2875,25820.1,-12.2076,9065.71
116,2900,25195,-20.7692,8710.97
117,2925,23899.1,-36.1446,7857.71
118,2950,23065.6,-21.8808,6481.87
119,2975,22949.2,-25.5383,5518.17
120,3000,23389.2,-35.9892,5604.66
121,3025,23947.6,-17.8201,6574.58
122,3050,24552.5,-24.4812,7584.42
123,3075,25024.7,-26.112,7867.95
124,3100,24913.3,-18.2656,7385.32
125,3125,24509.3,-43.9457,6956.22
126,3150,24044.6,-29.1811,6034.19
127,3175,23680.4,-24.9746,4937.32
128,3200,23975.7,-48.7813,4327.57
129,3225,24910,-37.8837,4358.69
130,3250,26040.5,-36.3202,4977.54
131,3275,27171.1,-45.5152,5767.19
132,3300,28017.9,-30.9276,6023.21
133,3325,28179.9,-38.7063,5759.89
134,3350,27541.6,-51.1497,5042.16
135,3375,26622.7,-54.6824,4084.5
136,3400,26292.9,-61.3939,3640.32
137,3425,26765.6,-52.5128,4221.59
138,3450,27426.8,-40.2022,5534.43
139,3475,27611.4,-49.4775,6597.65
140,3500,27135.4,-47.198,6785.27
141,3525,26464.1,-50.4321,6370.35
142,3550,26034.6,-50.6655,5607.57
143,3575,25645.6,-51.8995,4882.35
144,3600,25310.7,-65.8591,4828.04
145,3625,24891.5,-45.0107,5176.29
146,3650,24752.1,-43.6748,5485.4
147,3675,25482,-63.0369,5994.82
148,3700,26265.4,-38.4547,6661
149,3725,26570.8,-39.8764,7035.71
150,3750,26583.1,-46.8466,6692.63
151,3775,26327.3,-34.3313,5700.67
152,3800,25944.4,-52.0536,5045.82
153,3825,25854.6,-51.521,4792.01
154,3850,26422.1,-39.7894,5373.28
155,3875,27549.6,-38.8762,6896.65
156,3900,28387,-17.6111,8371.82
157,3925,28055.2,-18.7698,8989.5
158,3950,26848.4,-35.8364,8731.27
159,3975,25619.5,-17.4497,7585.13
160,4000,24914.6,-19.7697,6699.37
161,4025,24861.1,-23.2288,6494.43
162,4050,25139.8,-5.94753,6943.24
163,4075,25636.1,-10.9115,7922.75
164,4100,25883,0.970225,8823.35
165,4125,25720.1,7.53946,9158.63
166,4150,25674.8,-9.15034,9130.77
167,4175,25443.7,10.825,8386.4
168,4200,24983.9,9.72262,7542.68
169,4225,24977.9,0.396907,6822.2
170,4250,25433,9.55894,6167.71
171,4275,26208.6,2.17216,6188.06
172,4300,27365.3,3.94008,7247.7
173,4325,28578.4,23.2461,8581.98
174,4350,29187.2,20.4097,9184.33
175,4375,28686.1,13.7894,8820.09
176,4400,27465.6,3.78605,8028.91
177,4425,26578.4,3.19101,7171.81
178,4450,26536.6,13.795,6692.49
179,4475,26923.3,11.3491,7096.63
180,4500,27267.6,12.4633,8266.48
181,4525,27276.7,22.8765,9328.08
182,4550,27209.4,13.4569,9755.58
183,4575,27046.8,21.4555,9280.38
184,4600,26492.3,15.484,8654.13
185,4625,25830.6,1.56991,8379.99
186,4650,25213.1,27.9319,7873.88
187,4675,25130.5,18.133,7382.81
188,4700,25907.6,3.22772,7609.52
189,4725,26917.7,31.4739,8621.43
190,4750,27702.5,25.5732,9570.52
191,4775,28147.8,23.7358,9678.81
192,4800,28117.4,36.1684,9036.02
193,4825,27624.9,18.4591,8476.72
194,4850,27052.9,19.9911,7692.08
195,4875,26973.1,22.0174,7289.1
196,4900,27662.8,18.1103,8161.89
197,4925,28495.9,43.4937,9984.75
198,4950,28594.3,44.4223,11349.5
199,4975,27815.5,26.7874,11592
200,5000,26646.4,37.9894,10791.7
201,5025,25813.7,34.1066,9932.37
202,5050,25510.1,34.5442,9218.42
203,5075,25490.8,37.5267,8900.07
204,5100,25599.4,32.4439,9458.14
205,5125,25463.2,50.464,10399.5
206,5150,25507.3,43.6732,11076.1
207,5175,26021.5,35.3737,11400.8
208,5200,26088.1,55.6648,11141.4
209,5225,25783,44.321,10703.4
210,5250,25610.3,46.388,9774.39
211,5275,25549.5,47.1615,8625.97
212,5300,25803.2,30.9788,8102.61
213,5325,26642.7,39.9222,8843.69
214,5350,27899.9,52.4379,10486.6
215,5375,28829,53.8713,11715
216,5400,28586.2,54.5318,11826
217,5425,27279.4,34.9935,11351.2
218,5450,26016.3,37.0721,10227.3
219,5475,25433.6,45.9538,8992.43
220,5500,25421.1,30.361,8603.53
221,5525,25709,37.3604,9342.37
222,5550,26001.2,46.8441,10548.7
223,5575,26354.4,33.5002,11376.4
224,5600,26272.4,46.3266,11246.3
225,5625,25719,31.0113,10850.3
226,5650,25116.8,21.3548,10298.3
227,5675,24509.3,43.3749,9156.92
228,5700,24328.5,23.1682,8243.24
229,5725,24923.1,17.1733,7947.44
230,5750,25890.9,33.8136,8387.04
231,5775,26921.7,21.9325,9230.83
232,5800,27820.2,29.0473,9817.72
233,5825,28201.6,36.6959,9785.69
234,5850,27803.3,20.8414,9343.94
235,5875,26866.2,17.7956,8353.2
236,5900,26200.5,11.4788,7475.81
237,5925,26371.3,10.6484,7502.18
238,5950,27015.1,27.4327,8592.41
239,5975,27396.3,24.9708,9882.43
240,6000,27114.9,17.8914,10467.1
241,6025,26409.7,20.9589,10224.2
242,6050,25872,15.2703,9584.07
243,6075,25506.9,19.2747,8660.01
244,6100,25154.6,5.4393,8145.63
245,6125,24825.2,7.80118,8259.98
246,6150,24499.4,25.2394,8505.94
247,6175,24930.9,2.1913,8798.95
248,6200,25855.1,8.11457,9383.5
249,6225,26352.6,24.6695,9824.13
250,6250,26488.4,6.5411,9804.73
251,6275,26376.5,16.7418,8856.99
252,6300,26055.5,7.68467,7852.83
253,6325,25858.3,-7.85979,7218.01
254,6350,26207.4,2.43319,7245.7
255,6375,27216.8,1.71368,8341.05
256,6400,28311.1,10.6738,9905.06
257,6425,28459.8,21.3878,10767.7
258,6450,27471.4,-3.29122,10813.2
259,6475,26175.5,-0.0465054,9830.49
260,6500,25222.8,6.89662,8585.67
261,6525,24940.6,-8.38166,7977.57
262,6550,25079.7,2.14731,8061.96
263,6575,25463.5,3.38567,8788.81
264,6600,25821.9,-1.16991,9731.55
265,6625,25705.5,14.0531,10162.4
266,6650,25518.1,-5.58753,10206.8
267,6675,25354.7,-1.9213,9656.05
268,6700,24847.5,10.3748,8638.32
269,6725,24569.4,-6.85857,7816.71
270,6750,24850.6,-2.22572,6999.58
271,6775,25460.3,-3.26287,6607.86
272,6800,26441.6,-11.6952,7208.46
273,6825,27642.1,5.15552,8469.5
274,6850,28490.1,10.723,9290.36
275,6875,28348.6,2.09134,9142.82
276,6900,27237.5,-6.28018,8336.83
277,6925,26087.2,-13.7391,7382.01
278,6950,25725.8,-4.91576,6626.53
279,6975,26000,-1.7702,6622.22
280,7000,26368.2,-6.44798,7511.4
281,7025,26460,3.64599,8590.01
282,7050,26321.9,-0.539347,9147.85
