Time,StepCount,y_hat[1],y_hat[2],y_hat[3]
0,0,0,0,0
1,25,0.00121853,-6.15241e-05,1.45225e-06
2,50,0.00101557,2.9697e-05,5.04997e-06
3,75,-0.00874128,0.000167636,2.55723e-06
4,100,-0.0159778,-0.00021103,-4.33226e-07
5,125,-0.0299503,8.36527e-05,-2.39025e-06
6,150,-0.045557,-1.36098e-06,-1.39182e-06
7,175,-0.0593063,-0.000158694,-3.56284e-07
8,200,-0.0774991,-2.36195e-05,-1.48852e-06
9,225,-0.0978866,-0.000200792,2.13747e-06
10,250,-0.123401,-8.92937e-05,3.99252e-06
11,275,-0.155551,-0.000132108,5.69823e-07
12,300,-0.19571,-0.000294278,-7.57073e-06
13,325,-0.241064,-0.000326818,-1.53423e-05
14,350,-0.284998,-0.00047196,-2.01147e-05
15,375,-0.324741,-0.000411303,-2.56637e-05
16,400,-0.363724,-0.000432217,-2.98038e-05
17,425,-0.40775,-0.000562375,-3.25082e-05
18,450,-0.457007,-0.0005256,-3.78532e-05
19,475,-0.510436,-0.000543949,-4.71825e-05
20,500,-0.565851,-0.000657567,-5.86795e-05
21,525,-0.62291,-0.000676904,-7.01562e-05
22,550,-0.679597,-0.000722858,-7.9937e-05
23,575,-0.732747,-0.000827409,-8.87144e-05
24,600,-0.784003,-0.00074524,-9.9788e-05
25,625,-0.833992,-0.000902746,-0.00010795
26,650,-0.882293,-0.00101644,-0.000114161
27,675,-0.932436,-0.000913292,-0.000121968
28,700,-0.984422,-0.00109855,-0.000132101
29,725,-1.03517,-0.00119331,-0.000143835
30,750,-1.0838,-0.00121014,-0.000155762
31,775,-1.12837,-0.00140779,-0.000166054
32,800,-1.16573,-0.0014332,-0.000175864
33,825,-1.19411,-0.00145669,-0.000183811
34,850,-1.21603,-0.00150108,-0.000189974
35,875,-1.23644,-0.00150843,-0.000198066
36,900,-1.25671,-0.00158353,-0.00021049
37,925,-1.273,-0.00170686,-0.00022533
38,950,-1.28122,-0.00166324,-0.000238848
39,975,-1.28102,-0.00167433,-0.000249513
40,1000,-1.27514,-0.00171238,-0.000259359
41,1025,-1.26618,-0.001696,-0.000268772
42,1050,-1.2522,-0.00171501,-0.000276785
43,1075,-1.23376,-0.00162126,-0.000286386
44,1100,-1.21161,-0.00170509,-0.000296499
45,1125,-1.18874,-0.00172267,-0.000305125
46,1150,-1.16869,-0.00156875,-0.00031477
47,1175,-1.14692,-0.00173441,-0.000325539
48,1200,-1.12081,-0.00171899,-0.000335578
49,1225,-1.09185,-0.00168379,-0.000342256
50,1250,-1.06,-0.00178634,-0.000345365
51,1275,-1.0262,-0.00168024,-0.000348894
52,1300,-0.993388,-0.00170467,-0.000352556
53,1325,-0.964161,-0.00177693,-0.000359177
54,1350,-0.938168,-0.00180595,-0.0003696
55,1375,-0.909686,-0.00194969,-0.000378812
56,1400,-0.873579,-0.00194472,-0.000385369
57,1425,-0.83209,-0.00189203,-0.000389667
58,1450,-0.789846,-0.00204151,-0.000390316
59,1475,-0.750131,-0.00204179,-0.000391514
60,1500,-0.713547,-0.00205218,-0.000393812
61,1525,-0.678724,-0.00221234,-0.000396978
62,1550,-0.645206,-0.00219917,-0.000401111
63,1575,-0.610398,-0.00233538,-0.000403786
64,1600,-0.574618,-0.00239397,-0.000404806
65,1625,-0.540897,-0.00233905,-0.000405131
66,1650,-0.505675,-0.00254916,-0.00040158
67,1675,-0.469938,-0.00254727,-0.000397416
68,1700,-0.438216,-0.00256394,-0.00039132
69,1725,-0.4099,-0.00267537,-0.00038322
70,1750,-0.38541,-0.00264336,-0.000377392
71,1775,-0.365459,-0.00272388,-0.000375417
72,1800,-0.347454,-0.00286327,-0.000372975
73,1825,-0.326556,-0.00286241,-0.000367306
74,1850,-0.299353,-0.00284056,-0.00035899
75,1875,-0.268802,-0.00278484,-0.000349645
76,1900,-0.241139,-0.00278115,-0.000339348
77,1925,-0.218142,-0.00279129,-0.000330041
78,1950,-0.197011,-0.00270571,-0.00032385
79,1975,-0.17543,-0.00266045,-0.000319224
80,2000,-0.152308,-0.00262626,-0.000313246
81,2025,-0.129693,-0.00247167,-0.00030536
82,2050,-0.105485,-0.00243949,-0.000294747
83,2075,-0.0786324,-0.00220729,-0.000285796
84,2100,-0.0508086,-0.00203681,-0.000276772
85,2125,-0.0230586,-0.00203372,-0.000264423
86,2150,0.0003605,-0.00169423,-0.000252167
