Time,StepCount,x_wp,x_ref,y_wp,y_ref,psi_wp,psi_ref
0,0,0,0,0,0,0,0
1,25,0,0,0,0,0,0
2,50,0,0,0,0,0,0
3,75,0,0,0,0,0,0
4,100,0,0,0,0,0,0
5,125,0,0,0,0,0,0
6,150,0,0,0,0,0,0
7,175,0,0,0,0,0,0
8,200,0,0,0,0,0,0
9,225,0,0,0,0,0,0
10,250,0,0,0,0,0,0
11,275,0,0,0,0,0,0
12,300,0,0,0,0,0,0
13,325,0,0,0,0,0,0
14,350,0,0,0,0,0,0
15,375,0,0,0,0,0,0
16,400,0,0,0,0,0,0
17,425,0,0,0,0,0,0
18,450,0,0,0,0,0,0
19,475,0,0,0,0,0,0
20,500,0,0,0,0,0,0
21,525,0,0,0,0,0,0
22,550,0,0,0,0,0,0
23,575,0,0,0,0,0,0
24,600,0,0,0,0,0,0
25,625,0,0,0,0,0,0
26,650,0,0,0,0,0,0
27,675,0,0,0,0,0,0
28,700,0,0,0,0,0,0
29,725,0,0,0,0,0,0
30,750,0,0,0,0,0,0
31,775,0,0,0,0,0,0
32,800,0,0,0,0,0,0
33,825,0,0,0,0,0,0
34,850,0,0,0,0,0,0
35,875,0,0,0,0,0,0
36,900,0,0,0,0,0,0
37,925,0,0,0,0,0,0
38,950,0,0,0,0,0,0
39,975,0,0,0,0,0,0
40,1000,0,0,0,0,0,0
41,1025,0,0,0,0,0,0
42,1050,0,0,0,0,0,0
43,1075,0,0,0,0,0,0
44,1100,0,0,0,0,0,0
45,1125,0,0,0,0,0,0
46,1150,0,0,0,0,0,0
47,1175,0,0,0,0,0,0
48,1200,0,0,0,0,0,0
49,1225,0,0,0,0,0,0
50,1250,0,0,0,0,0,0
51,1275,0,0,0,0,0,0
52,1300,0,0,0,0,0,0
53,1325,0,0,0,0,0,0
54,1350,0,0,0,0,0,0
55,1375,0,0,0,0,0,0
56,1400,0,0,0,0,0,0
57,1425,0,0,0,0,0,0
58,1450,0,0,0,0,0,0
59,1475,0,0,0,0,0,0
60,1500,0,0,0,0,0,0
61,1525,0,0,0,0,0,0
62,1550,0,0,0,0,0,0
63,1575,0,0,0,0,0,0
64,1600,0,0,0,0,0,0
65,1625,0,0,0,0,0,0
66,1650,0,0,0,0,0,0
67,1675,0,0,0,0,0,0
68,1700,0,0,0,0,0,0
69,1725,0,0,0,0,0,0
70,1750,0,0,0,0,0,0
71,1775,0,0,0,0,0,0
72,1800,0,0,0,0,0,0
73,1825,0,0,0,0,0,0
74,1850,0,0,0,0,0,0
75,1875,0,0,0,0,0,0
76,1900,0,0,0,0,0,0
77,1925,0,0,0,0,0,0
78,1950,0,0,0,0,0,0
79,1975,0,0,0,0,0,0
80,2000,0,0,0,0,0,0
81,2025,0,0,0,0,0,0
82,2050,0,0,0,0,0,0
83,2075,0,0,0,0,0,0
84,2100,0,0,0,0,0,0
85,2125,0,0,0,0,0,0
86,2150,0,0,0,0,0,0
87,2175,0,0,0,0,0,0
88,2200,0,0,0,0,0,0
89,2225,0,0,0,0,0,0
90,2250,0,0,0,0,0,0
91,2275,0,0,0,0,0,0
92,2300,0,0,0,0,0,0
93,2325,0,0,0,0,0,0
94,2350,0,0,0,0,0,0
95,2375,0,0,0,0,0,0
96,2400,0,0,0,0,0,0
97,2425,0,0,0,0,0,0
98,2450,0,0,0,0,0,0
99,2475,0,0,0,0,0,0
100,2500,0,0,0,0,0,0
101,2525,0,0,0,0,0,0
102,2550,0,0,0,0,0,0
103,2575,0,0,0,0,0,0
104,2600,0,0,0,0,0,0
105,2625,0,0,0,0,0,0
106,2650,0,0,0,0,0,0
107,2675,0,0,0,0,0,0
108,2700,0,0,0,0,0,0
109,2725,0,0,0,0,0,0
110,2750,0,0,0,0,0,0
111,2775,0,0,0,0,0,0
112,2800,0,0,0,0,0,0
113,2825,0,0,0,0,0,0
114,2850,0,0,0,0,0,0
115,2875,0,0,0,0,0,0
116,2900,0,0,0,0,0,0
117,2925,0,0,0,0,0,0
118,2950,0,0,0,0,0,0
119,2975,0,0,0,0,0,0
120,3000,0,0,0,0,0,0
121,3025,0,0,0,0,0,0
122,3050,0,0,0,0,0,0
123,3075,0,0,0,0,0,0
124,3100,0,0,0,0,0,0
125,3125,0,0,0,0,0,0
126,3150,0,0,0,0,0,0
127,3175,0,0,0,0,0,0
128,3200,0,0,0,0,0,0
129,3225,0,0,0,0,0,0
130,3250,0,0,0,0,0,0
131,3275,0,0,0,0,0,0
132,3300,0,0,0,0,0,0
133,3325,0,0,0,0,0,0
134,3350,0,0,0,0,0,0
135,3375,0,0,0,0,0,0
136,3400,0,0,0,0,0,0
137,3425,0,0,0,0,0,0
138,3450,0,0,0,0,0,0
139,3475,0,0,0,0,0,0
140,3500,0,0,0,0,0,0
141,3525,0,0,0,0,0,0
142,3550,0,0,0,0,0,0
143,3575,0,0,0,0,0,0
144,3600,0,0,0,0,0,0
145,3625,0,0,0,0,0,0
146,3650,0,0,0,0,0,0
147,3675,0,0,0,0,0,0
148,3700,0,0,0,0,0,0
149,3725,0,0,0,0,0,0
150,3750,0,0,0,0,0,0
151,3775,0,0,0,0,0,0
152,3800,0,0,0,0,0,0
153,3825,0,0,0,0,0,0
154,3850,0,0,0,0,0,0
155,3875,0,0,0,0,0,0
156,3900,0,0,0,0,0,0
157,3925,0,0,0,0,0,0
158,3950,0,0,0,0,0,0
159,3975,0,0,0,0,0,0
160,4000,0,0,0,0,0,0
161,4025,0,0,0,0,0,0
162,4050,0,0,0,0,0,0
163,4075,0,0,0,0,0,0
164,4100,0,0,0,0,0,0
165,4125,0,0,0,0,0,0
166,4150,0,0,0,0,0,0
167,4175,0,0,0,0,0,0
168,4200,0,0,0,0,0,0
169,4225,0,0,0,0,0,0
170,4250,0,0,0,0,0,0
171,4275,0,0,0,0,0,0
172,4300,0,0,0,0,0,0
173,4325,0,0,0,0,0,0
174,4350,0,0,0,0,0,0
175,4375,0,0,0,0,0,0
176,4400,0,0,0,0,0,0
177,4425,0,0,0,0,0,0
178,4450,0,0,0,0,0,0
179,4475,0,0,0,0,0,0
180,4500,0,0,0,0,0,0
