Time,StepCount,q[1],q[2],q[3]
0,0,0,0,0
1,25,0.00522811,-0.000227475,6.90876e-06
2,50,-0.00204472,0.000277562,1.56098e-05
3,75,-0.0254443,0.000145732,1.17839e-05
4,100,-0.0527032,-0.000311641,5.90257e-06
5,125,-0.101822,0.000334832,-4.58062e-06
6,150,-0.147113,-0.0002279,-6.09612e-06
7,175,-0.190662,-8.68581e-05,-1.09525e-05
8,200,-0.231681,-9.7124e-05,-1.08365e-05
9,225,-0.268057,-0.000303918,-7.3003e-07
10,250,-0.308569,6.55176e-05,6.49257e-06
11,275,-0.358812,-0.000140229,2.63901e-07
12,300,-0.425961,-0.000249126,-2.25235e-05
13,325,-0.501325,-0.000437568,-5.234e-05
14,350,-0.568198,-0.000720345,-8.22568e-05
15,375,-0.614809,-0.000524368,-0.000113512
16,400,-0.646664,-0.000682673,-0.000135046
17,425,-0.677185,-0.000779147,-0.000150419
18,450,-0.715655,-0.000700508,-0.00016731
19,475,-0.768552,-0.000810644,-0.000192475
20,500,-0.835048,-0.0010378,-0.000225049
21,525,-0.914249,-0.00106606,-0.000261579
22,550,-0.995387,-0.00131803,-0.000294047
23,575,-1.06851,-0.00140622,-0.000324271
24,600,-1.13269,-0.00124867,-0.00035415
25,625,-1.18468,-0.00163247,-0.000372644
26,650,-1.22796,-0.00156661,-0.000385753
27,675,-1.27358,-0.00141407,-0.000398569
28,700,-1.32347,-0.0017235,-0.000417272
29,725,-1.37613,-0.00164495,-0.00044327
30,750,-1.42873,-0.00177142,-0.000474438
31,775,-1.47305,-0.00203691,-0.000505501
32,800,-1.49834,-0.00195861,-0.000536054
33,825,-1.49879,-0.00194917,-0.000558715
34,850,-1.48171,-0.00180823,-0.000575105
35,875,-1.46294,-0.0016395,-0.000594135
36,900,-1.45261,-0.00170044,-0.000624255
37,925,-1.44842,-0.00180995,-0.000664235
38,950,-1.44323,-0.00166782,-0.000706413
39,975,-1.4324,-0.00175155,-0.000743521
40,1000,-1.41895,-0.00171205,-0.000775964
41,1025,-1.40467,-0.0017402,-0.000799634
42,1050,-1.38637,-0.00171301,-0.000816255
