Time,StepCount,alpha1,alpha2,F1c,F2c,F3c,Fxg,Fyg,Mzg
0,0,0,0,0,0,0,0,0,0
1,25,0,0,0.1,0.1,0,0.2,0,0
2,50,0,0,0.1,0.1,0,0.2,0,0
3,75,0,0,41.6057,42.6585,-5.05595,84.2642,-5.05595,-275.335
4,100,0,0,43.1104,44.1325,-12.3736,87.2428,-12.3736,-662.956
5,125,-0.03111,-0.103834,288.796,270.61,-41.6608,557.809,-78.692,-405.09
6,150,0.0605078,-0.0731805,631.319,614.576,-1.96261,1243.09,-8.72102,320.74
7,175,0.167502,-0.178078,1182.36,1173.92,6.84161,2321.16,-3.9819,922.857
8,200,0.0383785,-0.0465253,1796.99,1789.87,0.62817,3583.6,-13.6673,730.703
9,225,0.193411,-0.195391,2327.52,2316.54,1.30452,4556.58,-1.08486,258.286
10,250,0.0310982,-0.033168,2880.57,2868.56,-4.34038,5746.15,-9.90122,105.564
11,275,-0.134309,0.133865,3466.31,3450.74,-19.1789,6854.97,-22.7833,-747.74
12,300,0.0334015,-0.0335084,4153.11,4142.73,-22.8661,8291.2,-22.9617,-1134.82
13,325,-0.131951,0.131849,5046.32,5033.54,-10.3651,9992.3,-12.5537,-362.653
14,350,0.0320832,-0.0319874,6180.46,6172.17,28.1171,12346.3,28.9738,1509.52
15,375,0.197619,-0.197342,7501.41,7499.52,62.5312,14709.4,64.9453,3215.67
16,400,0.024821,-0.0245959,8725.63,8726.06,73.869,17446.4,75.822,3823.85
17,425,-0.156989,0.155377,9651.73,9648.42,59.1029,19065.2,43.2253,3852.95
18,450,0.0309927,-0.0326332,10329.6,10324.4,45.5697,20643.5,28.7995,3209.49
19,475,-0.0142391,0.0135036,10894.9,10890.3,35.3742,21783.1,27.2988,2270.16
20,500,0.0366761,-0.03774,11627,11622.5,27.3519,23233.4,15.16,2032.86
21,525,-0.103094,0.101401,12584.5,12578.8,36.2901,25031.8,14.5082,2928.16
22,550,0.0517036,-0.0533306,13639.7,13632.6,65.7768,27234.7,43.995,4524.3
23,575,-0.0882227,0.0854002,14698.9,14688.8,77.1448,29276.9,34.9525,6032.59
24,600,0.044944,-0.0476711,15689.4,15677.9,90.2368,31333.7,48.0446,6775.45
25,625,-0.00263012,-0.000148407,16409.7,16398,87.6865,32807.6,42.0936,6780.21
26,650,0.00558679,-0.00889256,16970.7,16959.1,80.165,33928.9,24.1685,6852.86
27,675,0.00945157,-0.0118237,17426.9,17415.2,83.9287,34840.1,42.7304,6387.45
28,700,0.0127187,-0.0143291,17809.2,17797.4,81.8812,35603.3,53.373,5707.79
29,725,0.0125311,-0.0145614,18261.3,18249.6,71.5643,36507.6,34.6622,5539.41
30,750,0.0100867,-0.0117771,18842.1,18830.2,87.6514,37670.1,55.9434,6158.07
31,775,0.00872508,-0.0108094,19468.9,19456.8,102.762,38923.8,62.3143,7353.77
32,800,0.00895654,-0.0117,20068.5,20056.3,113.739,40122.7,58.8277,8588.84
33,825,0.01155,-0.0140426,20544.8,20532.4,129.505,41073.8,78.4741,9251.69
34,850,0.0175012,-0.0202255,20765.8,20753.4,128.538,41511.7,72.2268,9440.95
35,875,0.0315141,-0.0342208,20649.7,20637.4,121.622,41264.8,66.1839,9040.11
36,900,0.0601974,-0.0626652,20297.7,20285.3,112.779,40506.5,63.5578,8300.25
37,925,0.0993423,-0.101911,19951.9,19939.7,108.569,39689.8,58.8139,8114.27
38,950,0.132012,-0.134957,19744.7,19732.7,121.485,39126.2,65.4658,9096.99
39,975,0.158011,-0.161548,19607.2,19595.4,144.998,38703.3,78.4101,10839.9
40,1000,0.198669,-0.203349,19416.6,19405.8,154.485,38040.7,67.6289,12297.3
41,1025,0.269399,-0.274578,19167.2,19157.1,157.784,36915.3,64.8729,12797.9
42,1050,0.359013,-0.364279,18945.5,18935.7,156.295,35430.8,66.4921,12636.1
43,1075,0.4391,-0.444433,18780.9,18771.2,149.445,33946.9,63.044,12169.2
44,1100,0.508537,-0.513707,18645.5,18635.6,143.793,32516.4,64.5515,11576.9
45,1125,0.566735,-0.572534,18525.6,18516.8,137.423,31193.2,51.7551,11596.2
46,1150,0.614924,-0.620827,18416.2,18407.4,148.164,30015.2,64.6582,12101.3
47,1175,0.641646,-0.647917,18320.2,18311.8,154.337,29277.3,67.6232,12612.4
48,1200,0.634365,-0.641741,18255.4,18247.4,152.479,29321,49.1169,13339
49,1225,0.623029,-0.630089,18197.8,18189.6,172.731,29475.5,73.5182,14193.3
50,1250,0.62729,-0.634844,18122,18114,177.966,29256.6,72.1824,14803
51,1275,0.643688,-0.651378,18035.2,18027.3,174.303,28762.4,68.4509,14630.9
52,1300,0.669942,-0.676745,17942.6,17933.9,170.689,28046,80.7163,13675.6
53,1325,0.69706,-0.704044,17849.2,17840.8,155.207,27284.4,65.3525,12876.8
54,1350,0.709413,-0.716111,17765.7,17757.1,153.073,26874.9,68.7022,12499.7
55,1375,0.694684,-0.701413,17707.7,17699,164.691,27124.9,79.0166,13166.6
56,1400,0.658363,-0.665922,17680.8,17671.9,184.115,27881.7,84.2267,14877.5
57,1425,0.635671,-0.643516,17637.8,17628.7,208.036,28295.4,102.477,16405.2
58,1450,0.657552,-0.666189,17548.7,17540.2,211.589,27679.5,97.2525,17058
59,1475,0.710478,-0.719719,17449.1,17441.6,202.142,26343.2,85.3563,16748.7
60,1500,0.761041,-0.769213,17354.2,17345.2,196.679,25028.3,100.674,15477.2
61,1525,0.784687,-0.792429,17266.1,17256.8,184.042,24334,96.4973,14403.6
62,1550,0.780699,-0.788222,17195,17185.5,179.499,24333.3,94.6775,14017
63,1575,0.762526,-0.769561,17138.3,17128.5,191.919,24694.5,111.842,14409.5
64,1600,0.738581,-0.746466,17088.7,17079,198.499,25173.4,105.819,15378.7
65,1625,0.727053,-0.734954,17027.6,17017.7,212.581,25346.7,119.02,16156.9
66,1650,0.726804,-0.734918,16956.4,16946.6,215.382,25244,119.511,16423.1
67,1675,0.721097,-0.729621,16890.3,16880.7,207.555,25269.3,106.207,16279.7
68,1700,0.726398,-0.733423,16816.6,16806,208.748,25056.6,127.789,15313.1
69,1725,0.735609,-0.742246,16739.4,16728.6,195.603,24739.2,120.775,14313.6
70,1750,0.72558,-0.73155,16678.6,16667.6,184.019,24880.5,117.082,13286.6
71,1775,0.698864,-0.703689,16638.2,16627,179.661,25415.2,125.524,12380.3
72,1800,0.655374,-0.66036,16624.2,16613,175.224,26300.4,116.5,12346
73,1825,0.595603,-0.600846,16646,16634.5,189.691,27500.9,124.067,13417
74,1850,0.536417,-0.541708,16678.2,16666.5,208.682,28616.1,138.995,14583.4
75,1875,0.50856,-0.514177,16660.6,16648.8,209.888,29048.2,134.096,14927.3
76,1900,0.533979,-0.539612,16574.8,16563,199.437,28476.9,125.245,14313.7
77,1925,0.588802,-0.594345,16472.3,16460.6,182.445,27336.3,113.247,13208.3
78,1950,0.623517,-0.628429,16382.4,16370,169.854,26542.3,111.899,12010.1
79,1975,0.620086,-0.624425,16322.7,16310.1,165.001,26516.3,114.774,11365.5
80,2000,0.597478,-0.602365,16286.5,16273.9,164.735,26874.6,106.138,11754.6
81,2025,0.578073,-0.583699,16248.1,16235.5,173.951,27155.4,104.436,12771.9
82,2050,0.574052,-0.580221,16191.7,16179.3,181.637,27127.7,104.736,13541.5
83,2075,0.574227,-0.581,16130.9,16118.8,175.634,27017.6,90.7823,13615.5
84,2100,0.588435,-0.594561,16057.2,16044.7,169.178,26647.9,94.5216,12782.4
85,2125,0.61927,-0.62588,15970.8,15958.8,151.14,25938.9,72.3753,12053.4
86,2150,0.654725,-0.661471,15883.3,15871.6,140.354,25123,62.7752,11453.2
87,2175,0.684825,-0.690516,15800.1,15787.4,138.2,24408.4,76.7665,10556.9
88,2200,0.683276,-0.689677,15736.5,15724.4,117.771,24334.4,47.5843,9912.76
89,2225,0.649202,-0.655854,15711,15698.8,118.834,24956.6,43.2089,10212.9
90,2250,0.609337,-0.615891,15698.3,15686.1,134.822,25676.9,57.711,11099.5
91,2275,0.57877,-0.586389,15675.5,15663.2,131.317,26169.1,38.3573,11674.4
