Time,StepCount,look_ahead_distance_meter,prev_wp_x,prev_wp_y,next_wp_x,next_wp_y,os_x,os_y,final_heading_rad,chi_desired_rad,chi_desired_deg,last_wp_active
3,3,50.000000,-140.000000,-190.000000,-30.000000,-100.000000,-139.918942,-189.939869,0.000000,0.685825,39.294896,0
4,4,50.000000,-140.000000,-190.000000,-30.000000,-100.000000,-139.928562,-189.807286,0.000000,0.683651,39.170329,0
5,5,50.000000,-140.000000,-190.000000,-30.000000,-100.000000,-140.004452,-189.630784,0.000000,0.679958,38.958726,0
6,6,50.000000,-140.000000,-190.000000,-30.000000,-100.000000,-140.140421,-189.416371,0.000000,0.674917,38.669922,0
7,7,50.000000,-140.000000,-190.000000,-30.000000,-100.000000,-140.333942,-189.170815,0.000000,0.668667,38.311786,0
8,8,50.000000,-140.000000,-190.000000,-30.000000,-100.000000,-140.582845,-188.900012,0.000000,0.661326,37.891183,0
9,9,50.000000,-140.000000,-190.000000,-30.000000,-100.000000,-140.885266,-188.609114,0.000000,0.653000,37.414132,0
10,10,50.000000,-140.000000,-190.000000,-30.000000,-100.000000,-141.239604,-188.302653,0.000000,0.643781,36.885955,0
11,11,50.000000,-140.000000,-190.000000,-30.000000,-100.000000,-141.644522,-187.984605,0.000000,0.633752,36.311333,0
12,12,50.000000,-140.000000,-190.000000,-30.000000,-100.000000,-142.100920,-187.655552,0.000000,0.622915,35.690376,0
13,13,50.000000,-140.000000,-190.000000,-30.000000,-100.000000,-142.609689,-187.316058,0.000000,0.611271,35.023261,0
14,14,50.000000,-140.000000,-190.000000,-30.000000,-100.000000,-143.021712,-186.966625,0.000000,0.600712,34.418242,0
15,15,50.000000,-140.000000,-190.000000,-30.000000,-100.000000,-143.338076,-186.607813,0.000000,0.591228,33.874856,0
16,16,50.000000,-140.000000,-190.000000,-30.000000,-100.000000,-143.559872,-186.240323,0.000000,0.582813,33.392720,0
17,17,50.000000,-140.000000,-190.000000,-30.000000,-100.000000,-143.689947,-185.862404,0.000000,0.575401,32.968028,0
18,18,50.000000,-140.000000,-190.000000,-30.000000,-100.000000,-143.731873,-185.471351,0.000000,0.568901,32.595630,0
19,19,50.000000,-140.000000,-190.000000,-30.000000,-100.000000,-143.688941,-185.064921,0.000000,0.563236,32.271019,0
20,20,50.000000,-140.000000,-190.000000,-30.000000,-100.000000,-143.567138,-184.643295,0.000000,0.558329,31.989903,0
21,21,50.000000,-140.000000,-190.000000,-30.000000,-100.000000,-143.374251,-184.208387,0.000000,0.554112,31.748253,0
22,22,50.000000,-140.000000,-190.000000,-30.000000,-100.000000,-143.117262,-183.762006,0.000000,0.550521,31.542548,0
23,23,50.000000,-140.000000,-190.000000,-30.000000,-100.000000,-142.802434,-183.305843,0.000000,0.547505,31.369704,0
24,24,50.000000,-140.000000,-190.000000,-30.000000,-100.000000,-142.435387,-182.841470,0.000000,0.545014,31.227012,0
25,25,50.000000,-140.000000,-190.000000,-30.000000,-100.000000,-142.021162,-182.370338,0.000000,0.543008,31.112087,0
26,26,50.000000,-140.000000,-190.000000,-30.000000,-100.000000,-141.564289,-181.893770,0.000000,0.541450,31.022811,0
27,27,50.000000,-140.000000,-190.000000,-30.000000,-100.000000,-141.068839,-181.412964,0.000000,0.540307,30.957300,0
28,28,50.000000,-140.000000,-190.000000,-30.000000,-100.000000,-140.538469,-180.928991,0.000000,0.539549,30.913862,0
29,29,50.000000,-140.000000,-190.000000,-30.000000,-100.000000,-139.976474,-180.442803,0.000000,0.539149,30.890969,0
30,30,50.000000,-140.000000,-190.000000,-30.000000,-100.000000,-139.385818,-179.955228,0.000000,0.539084,30.887227,0
31,31,50.000000,-140.000000,-190.000000,-30.000000,-100.000000,-138.769175,-179.466982,0.000000,0.539330,30.901358,0
32,32,50.000000,-140.000000,-190.000000,-30.000000,-100.000000,-138.128957,-178.978670,0.000000,0.539868,30.932178,0
33,33,50.000000,-140.000000,-190.000000,-30.000000,-100.000000,-137.467342,-178.490793,0.000000,0.540678,30.978581,0
34,34,50.000000,-140.000000,-190.000000,-30.000000,-100.000000,-136.786299,-178.003751,0.000000,0.541742,31.039527,0
35,35,50.000000,-140.000000,-190.000000,-30.000000,-100.000000,-136.087611,-177.517855,0.000000,0.543042,31.114033,0
36,36,50.000000,-140.000000,-190.000000,-30.000000,-100.000000,-135.372893,-177.033331,0.000000,0.544563,31.201161,0
37,37,50.000000,-140.000000,-190.000000,-30.000000,-100.000000,-134.643610,-176.550326,0.000000,0.546288,31.300011,0
38,38,50.000000,-140.000000,-190.000000,-30.000000,-100.000000,-133.901093,-176.068914,0.000000,0.548203,31.409719,0
39,39,50.000000,-140.000000,-190.000000,-30.000000,-100.000000,-133.146552,-175.589106,0.000000,0.550293,31.529447,0
40,40,50.000000,-140.000000,-190.000000,-30.000000,-100.000000,-132.381089,-175.110855,0.000000,0.552543,31.658385,0
41,41,50.000000,-140.000000,-190.000000,-30.000000,-100.000000,-131.605710,-174.634062,0.000000,0.554940,31.795745,0
