Time,StepCount,V_current,psi_current_deg,ramp_duration,psi,u_current,v_current,r_current,enable_ramp
3,3,1.500000,0.000000,10.000000,0.608774,0.246105,-0.171559,0.000000,1
4,4,1.500000,0.000000,10.000000,0.604657,0.370214,-0.255816,0.000000,1
5,5,1.500000,0.000000,10.000000,0.601412,0.494723,-0.339484,0.000000,1
6,6,1.500000,0.000000,10.000000,0.598971,0.619437,-0.422845,0.000000,1
7,7,1.500000,0.000000,10.000000,0.597253,0.744195,-0.506136,0.000000,1
8,8,1.500000,0.000000,10.000000,0.596167,0.868868,-0.589549,0.000000,1
9,9,1.500000,0.000000,10.000000,0.595616,0.993364,-0.673223,0.000000,1
10,10,1.500000,0.000000,10.000000,0.595498,1.117623,-0.757244,0.000000,1
11,11,1.500000,0.000000,10.000000,0.595711,1.241625,-0.841646,0.000000,1
12,12,1.500000,0.000000,10.000000,0.596160,1.241247,-0.842203,0.000000,1
13,13,1.500000,0.000000,10.000000,0.596750,1.240749,-0.842936,0.000000,1
14,14,1.500000,0.000000,10.000000,0.597387,1.240212,-0.843726,0.000000,1
15,15,1.500000,0.000000,10.000000,0.597991,1.239703,-0.844474,0.000000,1
16,16,1.500000,0.000000,10.000000,0.598481,1.239288,-0.845082,0.000000,1
17,17,1.500000,0.000000,10.000000,0.598804,1.239015,-0.845483,0.000000,1
18,18,1.500000,0.000000,10.000000,0.598921,1.238916,-0.845628,0.000000,1
19,19,1.500000,0.000000,10.000000,0.598805,1.239015,-0.845484,0.000000,1
20,20,1.500000,0.000000,10.000000,0.598438,1.239325,-0.845029,0.000000,1
21,21,1.500000,0.000000,10.000000,0.597811,1.239855,-0.844252,0.000000,1
22,22,1.500000,0.000000,10.000000,0.596921,1.240605,-0.843148,0.000000,1
23,23,1.500000,0.000000,10.000000,0.595773,1.241572,-0.841723,0.000000,1
24,24,1.500000,0.000000,10.000000,0.594375,1.242748,-0.839987,0.000000,1
25,25,1.500000,0.000000,10.000000,0.592740,1.244120,-0.837953,0.000000,1
26,26,1.500000,0.000000,10.000000,0.590883,1.245673,-0.835642,0.000000,1
27,27,1.500000,0.000000,10.000000,0.588825,1.247391,-0.833076,0.000000,1
28,28,1.500000,0.000000,10.000000,0.586585,1.249253,-0.830281,0.000000,1
