Time,StepCount,initial_x_north_lat,initial_y_east_lon,initial_cog,initial_sog,lon_reference,lat_reference,step_size,vessel_length,vessel_width,r_accept,transition_duration,next_wp_x_north,next_wp_y_east,chi_desired_rad,speed_desired,chi_ca_best,u_ca_best,u_current,v_current,r_current,tau_wind_surge,tau_wind_sway,tau_wind_yaw,x_north,y_east,psi,u,v,r,tau_surge,tau_sway,tau_yaw,length_ais,width_ais,lat_rad,lon_rad,lat_deg_ais,lon_deg_ais,true_heading_deg_ais,cog_deg_ais,sog_kts_ais,rot_deg_per_min_ais,cog_error_deg,sog_error_meter_per_sec,mmsi,nav_status,stopping_condition,mmsi_ais,nav_status_ais,in_ned_coord,tau_saturation_enabled,dp_mode,transition_in_progress
3,3,-140.000000,-190.000000,35.000000,2.000000,12.209766,65.474915,1.000000,36.250000,9.900000,25.000000,0.000000,-30.000000,-100.000000,0.685730,1.000000,0.000000,1.000000,0.122873,-0.086036,0.000000,8.581394,-228.508142,-26466.428939,-139.928562,-189.807286,0.604657,0.284008,0.016791,-0.003245,1551469.813742,-343629.507374,15102661.562435,36.250000,9.900000,1.142731,0.213029,65.473660,12.205670,34.644312,34.644312,0.553031,-11.156565,4.409200,0.867069,0,0,0,0,0,1,1,0,0
4,4,-140.000000,-190.000000,35.000000,2.000000,12.209766,65.474915,1.000000,36.250000,9.900000,25.000000,0.000000,-30.000000,-100.000000,0.685825,1.000000,0.000000,1.000000,0.246105,-0.171559,0.000000,36.264813,-959.686475,-111224.962894,-140.004452,-189.630784,0.601412,0.379419,-0.002092,-0.002441,1591157.953853,-531895.831059,14415342.108703,36.250000,9.900000,1.142731,0.213029,65.473659,12.205674,34.458369,34.458369,0.737543,-8.390084,4.650584,0.807874,0,0,0,0,0,1,1,0,0
5,5,-140.000000,-190.000000,35.000000,2.000000,12.209766,65.474915,1.000000,36.250000,9.900000,25.000000,0.000000,-30.000000,-100.000000,0.683651,1.000000,0.000000,1.000000,0.370214,-0.255816,0.000000,81.735384,-2092.757649,-243382.650547,-140.140421,-189.416371,0.598971,0.473333,-0.027571,-0.001718,1566351.021500,-697754.318194,13445889.703654,36.250000,9.900000,1.142731,0.213029,65.473658,12.205678,34.318535,34.318535,0.921645,-5.905939,4.711960,0.746109,0,0,0,0,0,1,1,0,0
6,6,-140.000000,-190.000000,35.000000,2.000000,12.209766,65.474915,1.000000,36.250000,9.900000,25.000000,0.000000,-30.000000,-100.000000,0.679958,1.000000,0.000000,1.000000,0.494723,-0.339484,0.000000,144.944527,-3632.091751,-423368.374977,-140.333942,-189.170815,0.597253,0.565915,-0.058946,-0.001086,1541933.423614,-845247.725992,12307073.413942,36.250000,9.900000,1.142731,0.213029,65.473656,12.205683,34.220102,34.220102,1.106002,-3.733882,4.640191,0.687354,0,0,0,0,0,1,1,0,0
7,7,-140.000000,-190.000000,35.000000,2.000000,12.209766,65.474915,1.000000,36.250000,9.900000,25.000000,0.000000,-30.000000,-100.000000,0.674917,1.000000,0.000000,1.000000,0.619437,-0.422845,0.000000,226.364537,-5567.422774,-650254.520789,-140.582845,-188.900012,0.596167,0.657276,-0.095618,-0.000551,1517862.056736,-976988.327695,11046868.974746,36.250000,9.900000,1.142731,0.213029,65.473654,12.205689,34.157871,34.157871,1.291090,-1.895260,4.449819,0.632186,0,0,0,0,0,1,1,0,0
8,8,-140.000000,-190.000000,35.000000,2.000000,12.209766,65.474915,1.000000,36.250000,9.900000,25.000000,0.000000,-30.000000,-100.000000,0.668667,1.000000,0.000000,1.000000,0.744195,-0.506136,0.000000,325.896364,-7888.206689,-922904.735613,-140.885266,-188.609114,0.595616,0.747477,-0.137069,-0.000118,1494108.362559,-1095158.003424,9705788.000340,36.250000,9.900000,1.142731,0.213030,65.473651,12.205696,34.126283,34.126283,1.477207,-0.404339,4.153915,0.580381,0,0,0,0,0,1,1,0,0
9,9,-140.000000,-190.000000,35.000000,2.000000,12.209766,65.474915,1.000000,36.250000,9.900000,25.000000,0.000000,-30.000000,-100.000000,0.661326,1.000000,0.000000,1.000000,0.868868,-0.589549,0.000000,443.354565,-10586.069600,-1240383.145778,-141.239604,-188.302653,0.595498,0.836544,-0.182794,0.000213,1470655.959242,-1200000.000000,8318771.606171,36.250000,9.900000,1.142731,0.213030,65.473648,12.205702,34.119544,34.119544,1.664480,0.731273,3.764900,0.531520,0,0,0,0,0,1,1,0,0
10,10,-140.000000,-190.000000,35.000000,2.000000,12.209766,65.474915,1.000000,36.250000,9.900000,25.000000,0.000000,-30.000000,-100.000000,0.653000,1.000000,0.000000,1.000000,0.993364,-0.673223,0.000000,578.517066,-13654.314768,-1601918.859622,-141.644522,-187.984605,0.595711,0.924471,-0.228786,0.000449,1447498.486520,-1200000.000000,6915597.970730,36.250000,9.900000,1.142731,0.213030,65.473645,12.205709,34.131732,34.131732,1.851239,1.542998,3.294588,0.485109,0,0,0,0,0,1,1,0,0
11,11,-140.000000,-190.000000,35.000000,2.000000,12.209766,65.474915,1.000000,36.250000,9.900000,25.000000,0.000000,-30.000000,-100.000000,0.643781,1.000000,0.000000,1.000000,1.117623,-0.757244,0.000000,731.180564,-17087.914368,-2006922.075409,-142.100920,-187.655552,0.596160,1.011235,-0.275058,0.000590,1424637.662876,-1200000.000000,5514967.180813,36.250000,9.900000,1.142731,0.213030,65.473641,12.205716,34.157449,34.157449,2.037102,2.029015,2.754223,0.437350,0,0,0,0,0,1,1,0,0
12,12,-140.000000,-190.000000,35.000000,2.000000,12.209766,65.474915,1.000000,36.250000,9.900000,25.000000,0.000000,-30.000000,-100.000000,0.633752,1.000000,0.000000,1.000000,1.241625,-0.841646,0.000000,901.665405,-20911.208497,-2458032.460810,-142.609689,-187.316058,0.596750,1.096802,-0.321625,0.000637,1402078.810500,-1200000.000000,4133879.433409,36.250000,9.900000,1.142731,0.213030,65.473636,12.205723,34.191266,34.191266,2.221786,2.190739,2.153884,0.388361,0,0,0,0,0,1,1,0,0
13,13,-140.000000,-190.000000,35.000000,2.000000,12.209766,65.474915,1.000000,36.250000,9.900000,25.000000,0.000000,-30.000000,-100.000000,0.622915,1.000000,0.000000,1.000000,1.241247,-0.842203,0.000000,848.210627,-20244.922133,-2372224.973019,-143.021712,-186.966625,0.597387,1.181003,-0.368318,0.000603,1379831.606038,-1200000.000000,3238116.134487,36.250000,9.900000,1.142730,0.213030,65.473632,12.205731,34.227778,34.227778,2.404738,2.073359,1.499110,0.459753,0,0,0,0,0,1,1,0,0
14,14,-140.000000,-190.000000,35.000000,2.000000,12.209766,65.474915,1.000000,36.250000,9.900000,25.000000,0.000000,-30.000000,-100.000000,0.611271,1.000000,0.000000,1.000000,1.240749,-0.842936,0.000000,796.647478,-19593.384326,-2288436.725755,-143.338076,-186.607813,0.597991,1.263795,-0.415140,0.000491,1357939.114324,-1200000.000000,2307632.512436,36.250000,9.900000,1.142730,0.213030,65.473629,12.205739,34.262334,34.262334,2.585765,1.686799,0.795483,0.521636,0,0,0,0,0,1,1,0,0
15,15,-140.000000,-190.000000,35.000000,2.000000,12.209766,65.474915,1.000000,36.250000,9.900000,25.000000,0.000000,-30.000000,-100.000000,0.600712,1.000000,0.000000,1.000000,1.240212,-0.843726,0.000000,747.227824,-18957.640805,-2206861.340812,-143.559872,-186.240323,0.598481,1.345150,-0.458958,0.000323,1336413.325274,-1118904.210203,1536508.381524,36.250000,9.900000,1.142730,0.213030,65.473627,12.205747,34.290447,34.290447,2.762771,1.110281,0.155908,0.570765,0,0,0,0,0,1,1,0,0
16,16,-140.000000,-190.000000,35.000000,2.000000,12.209766,65.474915,1.000000,36.250000,9.900000,25.000000,0.000000,-30.000000,-100.000000,0.591228,1.000000,0.000000,1.000000,1.239703,-0.844474,0.000000,700.068382,-18337.075667,-2127480.760055,-143.689947,-185.862404,0.598804,1.425077,-0.498436,0.000117,1315260.931718,-1003935.440959,912974.202514,36.250000,9.900000,1.142730,0.213031,65.473626,12.205755,34.308952,34.308952,2.934679,0.402342,-0.415592,0.600323,0,0,0,0,0,1,1,0,0
17,17,-140.000000,-190.000000,35.000000,2.000000,12.209766,65.474915,1.000000,36.250000,9.900000,25.000000,0.000000,-30.000000,-100.000000,0.582813,1.000000,0.000000,1.000000,1.239288,-0.845082,0.000000,655.592636,-17754.172306,-2052775.403826,-143.731873,-185.471351,0.598921,1.503600,-0.533998,-0.000116,1294480.032925,-901039.213124,430952.120645,36.250000,9.900000,1.142730,0.213031,65.473626,12.205763,34.315658,34.315658,3.101615,-0.399349,-0.916232,0.606705,0,0,0,0,0,1,1,0,0
18,18,-140.000000,-190.000000,35.000000,2.000000,12.209766,65.474915,1.000000,36.250000,9.900000,25.000000,0.000000,-30.000000,-100.000000,0.575401,1.000000,0.000000,1.000000,1.239015,-0.845483,0.000000,613.913462,-17217.098265,-1983635.520377,-143.688941,-185.064921,0.598805,1.577179,-0.566015,-0.000367,1215064.135346,-808964.142205,77812.173235,36.250000,9.900000,1.142730,0.213031,65.473626,12.205772,34.309002,34.309002,3.257240,-1.261660,-1.347630,0.591309,0,0,0,0,0,1,1,0,0
19,19,-140.000000,-190.000000,35.000000,2.000000,12.209766,65.474915,1.000000,36.250000,9.900000,25.000000,0.000000,-30.000000,-100.000000,0.568901,1.000000,0.000000,1.000000,1.238916,-0.845628,0.000000,574.900671,-16721.047731,-1919527.136699,-143.567138,-184.643295,0.598438,1.643387,-0.594819,-0.000627,1095342.877509,-726561.608626,-171502.261154,36.250000,9.900000,1.142730,0.213031,65.473627,12.205781,34.287974,34.287974,3.397300,-2.155948,-1.713372,0.561132,0,0,0,0,0,1,1,0,0
20,20,-140.000000,-190.000000,35.000000,2.000000,12.209766,65.474915,1.000000,36.250000,9.900000,25.000000,0.000000,-30.000000,-100.000000,0.563236,1.000000,0.000000,1.000000,1.239015,-0.845484,0.000000,539.940557,-16272.323754,-1861569.984883,-143.374251,-184.208387,0.597811,1.702983,-0.620706,-0.000890,987792.918687,-652742.226064,-334312.870934,36.250000,9.900000,1.142730,0.213031,65.473629,12.205791,34.252042,34.252042,3.523363,-3.057931,-2.016955,0.524237,0,0,0,0,0,1,1,0,0
21,21,-140.000000,-190.000000,35.000000,2.000000,12.209766,65.474915,1.000000,36.250000,9.900000,25.000000,0.000000,-30.000000,-100.000000,0.558329,1.000000,0.000000,1.000000,1.239325,-0.845029,0.000000,509.779058,-15873.439979,-1810295.157395,-143.117262,-183.762006,0.596921,1.756648,-0.643937,-0.001148,891180.380013,-586516.924466,-418341.031142,36.250000,9.900000,1.142730,0.213031,65.473631,12.205800,34.201076,34.201076,3.636843,-3.947217,-2.262139,0.484927,0,0,0,0,0,1,1,0,0
