Time,StepCount,V_wind,psi_wind_deg,ramp_duration,psi,u,v,tau_wind_surge,tau_wind_sway,tau_wind_yaw,enable_ramp
3,3,5.500000,20.000000,10.000000,0.608774,0.190800,0.028229,36.264813,-959.686475,-111224.962894,1
4,4,5.500000,20.000000,10.000000,0.604657,0.284008,0.016791,81.735384,-2092.757649,-243382.650547,1
5,5,5.500000,20.000000,10.000000,0.601412,0.379419,-0.002092,144.944527,-3632.091751,-423368.374977,1
6,6,5.500000,20.000000,10.000000,0.598971,0.473333,-0.027571,226.364537,-5567.422774,-650254.520789,1
7,7,5.500000,20.000000,10.000000,0.597253,0.565915,-0.058946,325.896364,-7888.206689,-922904.735613,1
8,8,5.500000,20.000000,10.000000,0.596167,0.657276,-0.095618,443.354565,-10586.069600,-1240383.145778,1
9,9,5.500000,20.000000,10.000000,0.595616,0.747477,-0.137069,578.517066,-13654.314768,-1601918.859622,1
10,10,5.500000,20.000000,10.000000,0.595498,0.836544,-0.182794,731.180564,-17087.914368,-2006922.075409,1
11,11,5.500000,20.000000,10.000000,0.595711,0.924471,-0.228786,901.665405,-20911.208497,-2458032.460810,1
12,12,5.500000,20.000000,10.000000,0.596160,1.011235,-0.275058,848.210627,-20244.922133,-2372224.973019,1
13,13,5.500000,20.000000,10.000000,0.596750,1.096802,-0.321625,796.647478,-19593.384326,-2288436.725755,1
14,14,5.500000,20.000000,10.000000,0.597387,1.181003,-0.368318,747.227824,-18957.640805,-2206861.340812,1
15,15,5.500000,20.000000,10.000000,0.597991,1.263795,-0.415140,700.068382,-18337.075667,-2127480.760055,1
16,16,5.500000,20.000000,10.000000,0.598481,1.345150,-0.458958,655.592636,-17754.172306,-2052775.403826,1
17,17,5.500000,20.000000,10.000000,0.598804,1.425077,-0.498436,613.913462,-17217.098265,-1983635.520377,1
18,18,5.500000,20.000000,10.000000,0.598921,1.503600,-0.533998,574.900671,-16721.047731,-1919527.136699,1
19,19,5.500000,20.000000,10.000000,0.598805,1.577179,-0.566015,539.940557,-16272.323754,-1861569.984883,1
20,20,5.500000,20.000000,10.000000,0.598438,1.643387,-0.594819,509.779058,-15873.439979,-1810295.157395,1
21,21,5.500000,20.000000,10.000000,0.597811,1.702983,-0.620706,483.783273,-15517.840246,-1764838.975160,1
22,22,5.500000,20.000000,10.000000,0.596921,1.756648,-0.643937,461.409810,-15199.875130,-1724454.772495,1
23,23,5.500000,20.000000,10.000000,0.595773,1.804998,-0.664749,442.191140,-14914.691744,-1688498.400337,1
24,24,5.500000,20.000000,10.000000,0.594375,1.848587,-0.683353,425.723772,-14658.131187,-1656414.844103,1
25,25,5.500000,20.000000,10.000000,0.592740,1.887912,-0.699940,411.658247,-14426.636547,-1627726.304918,1
26,26,5.500000,20.000000,10.000000,0.590883,1.923421,-0.714681,399.690734,-14217.170714,-1602021.633335,1
27,27,5.500000,20.000000,10.000000,0.588825,1.955516,-0.727732,389.555998,-14027.143386,-1578947.018523,1
28,28,5.500000,20.000000,10.000000,0.586585,1.984556,-0.739237,381.021553,-13854.346696,-1558197.835666,1
29,29,5.500000,20.000000,10.000000,0.584188,2.010863,-0.749325,373.882801,-13696.898838,-1539511.551475,1
30,30,5.500000,20.000000,10.000000,0.581655,2.034725,-0.758115,367.959001,-13553.195029,-1522661.585799,1
31,31,5.500000,20.000000,10.000000,0.579013,2.056400,-0.765719,363.089925,-13421.865137,-1507452.027749,1
32,32,5.500000,20.000000,10.000000,0.576286,2.076115,-0.772238,359.133076,-13301.737264,-1493713.107690,1
33,33,5.500000,20.000000,10.000000,0.573499,2.094076,-0.777767,355.961375,-13191.806628,-1481297.331503,1
34,34,5.500000,20.000000,10.000000,0.570676,2.110464,-0.782395,353.461227,-13091.209067,-1470076.190117,1
35,35,5.500000,20.000000,10.000000,0.567843,2.125440,-0.786203,351.530905,-12999.198588,-1459937.364864,1
36,36,5.500000,20.000000,10.000000,0.565022,2.139148,-0.789270,350.079179,-12915.128376,-1450782.357244,1
37,37,5.500000,20.000000,10.000000,0.562237,2.151714,-0.791667,349.024172,-12838.434774,-1442524.479749,1
38,38,5.500000,20.000000,10.000000,0.559509,2.163250,-0.793463,348.292369,-12768.623790,-1435087.152317,1
39,39,5.500000,20.000000,10.000000,0.556859,2.173856,-0.794723,347.817786,-12705.259723,-1428402.456389,1
40,40,5.500000,20.000000,10.000000,0.554306,2.183619,-0.795506,347.541245,-12647.955593,-1422409.905501,1
41,41,5.500000,20.000000,10.000000,0.551869,2.192616,-0.795872,347.409752,-12596.365061,-1417055.397596,1
