Time,StepCount,look_ahead_distance_meter,prev_wp_x,prev_wp_y,next_wp_x,next_wp_y,os_x,os_y,final_heading_rad,chi_desired_rad,chi_desired_deg,last_wp_active
0,0,50.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
1,1,50.000000,0.000000,0.000000,-140.000000,-190.000000,-140.000000,-190.000000,0.000000,-2.205823,-126.384352,0
2,2,50.000000,-140.000000,-190.000000,-30.000000,-100.000000,-140.000000,-190.000000,0.000000,0.685730,39.289407,0
3,3,50.000000,-140.000000,-190.000000,-30.000000,-100.000000,-139.918942,-189.939869,0.000000,0.685825,39.294896,0
4,4,50.000000,-140.000000,-190.000000,-30.000000,-100.000000,-139.788526,-189.790258,0.000000,0.685161,39.256842,0
5,5,50.000000,-140.000000,-190.000000,-30.000000,-100.000000,-139.598293,-189.581904,0.000000,0.684345,39.210095,0
6,6,50.000000,-140.000000,-190.000000,-30.000000,-100.000000,-139.354109,-189.321092,0.000000,0.683401,39.155973,0
7,7,50.000000,-140.000000,-190.000000,-30.000000,-100.000000,-139.061306,-189.013272,0.000000,0.682344,39.095440,0
8,8,50.000000,-140.000000,-190.000000,-30.000000,-100.000000,-138.724767,-188.663204,0.000000,0.681188,39.029175,0
9,9,50.000000,-140.000000,-190.000000,-30.000000,-100.000000,-138.348945,-188.275053,0.000000,0.679939,38.957639,0
10,10,50.000000,-140.000000,-190.000000,-30.000000,-100.000000,-137.937896,-187.852471,0.000000,0.678604,38.881131,0
11,11,50.000000,-140.000000,-190.000000,-30.000000,-100.000000,-137.495301,-187.398672,0.000000,0.677185,38.799831,0
12,12,50.000000,-140.000000,-190.000000,-30.000000,-100.000000,-137.024492,-186.916490,0.000000,0.675684,38.713832,0
13,13,50.000000,-140.000000,-190.000000,-30.000000,-100.000000,-136.528486,-186.408434,0.000000,0.674102,38.623173,0
14,14,50.000000,-140.000000,-190.000000,-30.000000,-100.000000,-136.010000,-185.876733,0.000000,0.672438,38.527861,0
15,15,50.000000,-140.000000,-190.000000,-30.000000,-100.000000,-135.471484,-185.323376,0.000000,0.670693,38.427881,0
16,16,50.000000,-140.000000,-190.000000,-30.000000,-100.000000,-134.915139,-184.750146,0.000000,0.668866,38.323220,0
17,17,50.000000,-140.000000,-190.000000,-30.000000,-100.000000,-134.342942,-184.158646,0.000000,0.666958,38.213867,0
18,18,50.000000,-140.000000,-190.000000,-30.000000,-100.000000,-133.756663,-183.550328,0.000000,0.664967,38.099827,0
19,19,50.000000,-140.000000,-190.000000,-30.000000,-100.000000,-133.157884,-182.926511,0.000000,0.662896,37.981122,0
20,20,50.000000,-140.000000,-190.000000,-30.000000,-100.000000,-132.548022,-182.288399,0.000000,0.660743,37.857797,0
21,21,50.000000,-140.000000,-190.000000,-30.000000,-100.000000,-131.928338,-181.637098,0.000000,0.658511,37.729917,0
22,22,50.000000,-140.000000,-190.000000,-30.000000,-100.000000,-131.299954,-180.973627,0.000000,0.656202,37.597577,0
23,23,50.000000,-140.000000,-190.000000,-30.000000,-100.000000,-130.663869,-180.298931,0.000000,0.653816,37.460892,0
24,24,50.000000,-140.000000,-190.000000,-30.000000,-100.000000,-130.020968,-179.613889,0.000000,0.651357,37.320003,0
25,25,50.000000,-140.000000,-190.000000,-30.000000,-100.000000,-129.372036,-178.919323,0.000000,0.648827,37.175072,0
26,26,50.000000,-140.000000,-190.000000,-30.000000,-100.000000,-128.717768,-178.216003,0.000000,0.646231,37.026284,0
27,27,50.000000,-140.000000,-190.000000,-30.000000,-100.000000,-128.058775,-177.504658,0.000000,0.643570,36.873843,0
28,28,50.000000,-140.000000,-190.000000,-30.000000,-100.000000,-127.395597,-176.785971,0.000000,0.640849,36.717970,0
29,29,50.000000,-140.000000,-190.000000,-30.000000,-100.000000,-126.728708,-176.060594,0.000000,0.638073,36.558901,0
30,30,50.000000,-140.000000,-190.000000,-30.000000,-100.000000,-126.058524,-175.329144,0.000000,0.635246,36.396887,0
31,31,50.000000,-140.000000,-190.000000,-30.000000,-100.000000,-125.385409,-174.592209,0.000000,0.632371,36.232189,0
32,32,50.000000,-140.000000,-190.000000,-30.000000,-100.000000,-124.709681,-173.850350,0.000000,0.629454,36.065078,0
33,33,50.000000,-140.000000,-190.000000,-30.000000,-100.000000,-124.031617,-173.104102,0.000000,0.626500,35.895832,0
34,34,50.000000,-140.000000,-190.000000,-30.000000,-100.000000,-123.351456,-172.353976,0.000000,0.623514,35.724736,0
35,35,50.000000,-140.000000,-190.000000,-30.000000,-100.000000,-122.669407,-171.600463,0.000000,0.620501,35.552076,0
36,36,50.000000,-140.000000,-190.000000,-30.000000,-100.000000,-121.985650,-170.844031,0.000000,0.617465,35.378142,0
37,37,50.000000,-140.000000,-190.000000,-30.000000,-100.000000,-121.300338,-170.085129,0.000000,0.614412,35.203222,0
38,38,50.000000,-140.000000,-190.000000,-30.000000,-100.000000,-120.613604,-169.324186,0.000000,0.611347,35.027604,0
39,39,50.000000,-140.000000,-190.000000,-30.000000,-100.000000,-119.925561,-168.561613,0.000000,0.608275,34.851574,0
40,40,50.000000,-140.000000,-190.000000,-30.000000,-100.000000,-119.236303,-167.797801,0.000000,0.605200,34.675413,0
41,41,50.000000,-140.000000,-190.000000,-30.000000,-100.000000,-118.545912,-167.033128,0.000000,0.602128,34.499395,0
42,42,50.000000,-140.000000,-190.000000,-30.000000,-100.000000,-117.854456,-166.267949,0.000000,0.599063,34.323792,0
43,43,50.000000,-140.000000,-190.000000,-30.000000,-100.000000,-117.161990,-165.502606,0.000000,0.596010,34.148864,0
44,44,50.000000,-140.000000,-190.000000,-30.000000,-100.000000,-116.468560,-164.737424,0.000000,0.592973,33.974867,0
45,45,50.000000,-140.000000,-190.000000,-30.000000,-100.000000,-115.774204,-163.972710,0.000000,0.589957,33.802045,0
46,46,50.000000,-140.000000,-190.000000,-30.000000,-100.000000,-115.078952,-163.208757,0.000000,0.586965,33.630635,0
47,47,50.000000,-140.000000,-190.000000,-30.000000,-100.000000,-114.382828,-162.445839,0.000000,0.584002,33.460863,0
48,48,50.000000,-140.000000,-190.000000,-30.000000,-100.000000,-113.685849,-161.684218,0.000000,0.581071,33.292943,0
49,49,50.000000,-140.000000,-190.000000,-30.000000,-100.000000,-112.988027,-160.924137,0.000000,0.578177,33.127083,0
50,50,50.000000,-140.000000,-190.000000,-30.000000,-100.000000,-112.289373,-160.165828,0.000000,0.575321,32.963474,0
51,51,50.000000,-140.000000,-190.000000,-30.000000,-100.000000,-111.589890,-159.409503,0.000000,0.572508,32.802300,0
52,52,50.000000,-140.000000,-190.000000,-30.000000,-100.000000,-110.889580,-158.655363,0.000000,0.569741,32.643733,0
53,53,50.000000,-140.000000,-190.000000,-30.000000,-100.000000,-110.188443,-157.903593,0.000000,0.567021,32.487933,0
54,54,50.000000,-140.000000,-190.000000,-30.000000,-100.000000,-109.476520,-157.171710,0.000000,0.564742,32.357325,0
55,55,50.000000,-140.000000,-190.000000,-30.000000,-100.000000,-108.754815,-156.458119,0.000000,0.562864,32.249760,0
56,56,50.000000,-140.000000,-190.000000,-30.000000,-100.000000,-108.024222,-155.761381,0.000000,0.561356,32.163309,0
57,57,50.000000,-140.000000,-190.000000,-30.000000,-100.000000,-107.285540,-155.080193,0.000000,0.560185,32.096244,0
58,58,50.000000,-140.000000,-190.000000,-30.000000,-100.000000,-106.539479,-154.413376,0.000000,0.559326,32.047010,0
59,59,50.000000,-140.000000,-190.000000,-30.000000,-100.000000,-105.786671,-153.759856,0.000000,0.558753,32.014208,0
60,60,50.000000,-140.000000,-190.000000,-30.000000,-100.000000,-105.027679,-153.118653,0.000000,0.558446,31.996572,0
61,61,50.000000,-140.000000,-190.000000,-30.000000,-100.000000,-104.263000,-152.488865,0.000000,0.558382,31.992958,0
62,62,50.000000,-140.000000,-190.000000,-30.000000,-100.000000,-103.493075,-151.869661,0.000000,0.558546,32.002326,0
63,63,50.000000,-140.000000,-190.000000,-30.000000,-100.000000,-102.718293,-151.260273,0.000000,0.558919,32.023727,0
64,64,50.000000,-140.000000,-190.000000,-30.000000,-100.000000,-101.939000,-150.659984,0.000000,0.559488,32.056294,0
65,65,50.000000,-140.000000,-190.000000,-30.000000,-100.000000,-101.155498,-150.068126,0.000000,0.560237,32.099231,0
66,66,50.000000,-140.000000,-190.000000,-30.000000,-100.000000,-100.368058,-149.484071,0.000000,0.561155,32.151804,0
67,67,50.000000,-140.000000,-190.000000,-30.000000,-100.000000,-99.576916,-148.907228,0.000000,0.562229,32.213334,0
68,68,50.000000,-140.000000,-190.000000,-30.000000,-100.000000,-98.782284,-148.337039,0.000000,0.563448,32.283188,0
69,69,50.000000,-140.000000,-190.000000,-30.000000,-100.000000,-97.984347,-147.772973,0.000000,0.564802,32.360777,0
70,70,50.000000,-140.000000,-190.000000,-30.000000,-100.000000,-97.183273,-147.214527,0.000000,0.566282,32.445550,0
71,71,50.000000,-140.000000,-190.000000,-30.000000,-100.000000,-96.379211,-146.661220,0.000000,0.567878,32.536986,0
72,72,50.000000,-140.000000,-190.000000,-30.000000,-100.000000,-95.572296,-146.112594,0.000000,0.569581,32.634593,0
73,73,50.000000,-140.000000,-190.000000,-30.000000,-100.000000,-94.762650,-145.568207,0.000000,0.571384,32.737906,0
74,74,50.000000,-140.000000,-190.000000,-30.000000,-100.000000,-93.950387,-145.027639,0.000000,0.573279,32.846482,0
75,75,50.000000,-140.000000,-190.000000,-30.000000,-100.000000,-93.135612,-144.490486,0.000000,0.575259,32.959897,0
76,76,50.000000,-140.000000,-190.000000,-30.000000,-100.000000,-92.318421,-143.956357,0.000000,0.577316,33.077745,0
77,77,50.000000,-140.000000,-190.000000,-30.000000,-100.000000,-91.498909,-143.424881,0.000000,0.579443,33.199637,0
78,78,50.000000,-140.000000,-190.000000,-30.000000,-100.000000,-90.677164,-142.895698,0.000000,0.581634,33.325198,0
79,79,50.000000,-140.000000,-190.000000,-30.000000,-100.000000,-89.853275,-142.368463,0.000000,0.583884,33.454067,0
80,80,50.000000,-140.000000,-190.000000,-30.000000,-100.000000,-89.027326,-141.842845,0.000000,0.586184,33.585896,0
81,81,50.000000,-140.000000,-190.000000,-30.000000,-100.000000,-88.199402,-141.318526,0.000000,0.588531,33.720346,0
82,82,50.000000,-140.000000,-190.000000,-30.000000,-100.000000,-87.369587,-140.795203,0.000000,0.590918,33.857092,0
83,83,50.000000,-140.000000,-190.000000,-30.000000,-100.000000,-86.537966,-140.272582,0.000000,0.593339,33.995817,0
84,84,50.000000,-140.000000,-190.000000,-30.000000,-100.000000,-85.704625,-139.750386,0.000000,0.595789,34.136216,0
85,85,50.000000,-140.000000,-190.000000,-30.000000,-100.000000,-84.869651,-139.228348,0.000000,0.598264,34.277993,0
86,86,50.000000,-140.000000,-190.000000,-30.000000,-100.000000,-84.033131,-138.706216,0.000000,0.600757,34.420861,0
87,87,50.000000,-140.000000,-190.000000,-30.000000,-100.000000,-83.195156,-138.183749,0.000000,0.603265,34.564544,0
88,88,50.000000,-140.000000,-190.000000,-30.000000,-100.000000,-82.355817,-137.660718,0.000000,0.605782,34.708774,0
89,89,50.000000,-140.000000,-190.000000,-30.000000,-100.000000,-81.515207,-137.136910,0.000000,0.608305,34.853293,0
90,90,50.000000,-140.000000,-190.000000,-30.000000,-100.000000,-80.673420,-136.612121,0.000000,0.610828,34.997853,0
91,91,50.000000,-140.000000,-190.000000,-30.000000,-100.000000,-79.830552,-136.086160,0.000000,0.613347,35.142214,0
92,92,50.000000,-140.000000,-190.000000,-30.000000,-100.000000,-78.986700,-135.558850,0.000000,0.615859,35.286148,0
93,93,50.000000,-140.000000,-190.000000,-30.000000,-100.000000,-78.141964,-135.030024,0.000000,0.618360,35.429433,0
94,94,50.000000,-140.000000,-190.000000,-30.000000,-100.000000,-77.296441,-134.499530,0.000000,0.620846,35.571861,0
95,95,50.000000,-140.000000,-190.000000,-30.000000,-100.000000,-76.450232,-133.967225,0.000000,0.623313,35.713232,0
96,96,50.000000,-140.000000,-190.000000,-30.000000,-100.000000,-75.603438,-133.432980,0.000000,0.625759,35.853354,0
97,97,50.000000,-140.000000,-190.000000,-30.000000,-100.000000,-74.756160,-132.896676,0.000000,0.628180,35.992049,0
98,98,50.000000,-140.000000,-190.000000,-30.000000,-100.000000,-73.908496,-132.358207,0.000000,0.630573,36.129145,0
99,99,50.000000,-140.000000,-190.000000,-30.000000,-100.000000,-73.060549,-131.817476,0.000000,0.632935,36.264483,0
100,100,50.000000,-140.000000,-190.000000,-30.000000,-100.000000,-72.212417,-131.274399,0.000000,0.635263,36.397914,0
101,101,50.000000,-140.000000,-190.000000,-30.000000,-100.000000,-71.364198,-130.728901,0.000000,0.637556,36.529296,0
102,102,50.000000,-140.000000,-190.000000,-30.000000,-100.000000,-70.515990,-130.180919,0.000000,0.639812,36.658501,0
103,103,50.000000,-140.000000,-190.000000,-30.000000,-100.000000,-69.667888,-129.630398,0.000000,0.642027,36.785409,0
104,104,50.000000,-140.000000,-190.000000,-30.000000,-100.000000,-68.819986,-129.077295,0.000000,0.644199,36.909910,0
105,105,50.000000,-140.000000,-190.000000,-30.000000,-100.000000,-67.972375,-128.521573,0.000000,0.646329,37.031904,0
106,106,50.000000,-140.000000,-190.000000,-30.000000,-100.000000,-67.125145,-127.963207,0.000000,0.648413,37.151300,0
107,107,50.000000,-140.000000,-190.000000,-30.000000,-100.000000,-66.278383,-127.402178,0.000000,0.650450,37.268018,0
108,108,50.000000,-140.000000,-190.000000,-30.000000,-100.000000,-65.432173,-126.838479,0.000000,0.652439,37.381986,0
109,109,50.000000,-140.000000,-190.000000,-30.000000,-100.000000,-64.586595,-126.272105,0.000000,0.654379,37.493141,0
110,110,50.000000,-140.000000,-190.000000,-30.000000,-100.000000,-63.741727,-125.703064,0.000000,0.656269,37.601431,0
111,111,50.000000,-140.000000,-190.000000,-30.000000,-100.000000,-62.897644,-125.131366,0.000000,0.658108,37.706811,0
112,112,50.000000,-140.000000,-190.000000,-30.000000,-100.000000,-62.054418,-124.557032,0.000000,0.659896,37.809243,0
113,113,50.000000,-140.000000,-190.000000,-30.000000,-100.000000,-61.212114,-123.980085,0.000000,0.661632,37.908699,0
114,114,50.000000,-140.000000,-190.000000,-30.000000,-100.000000,-60.370797,-123.400557,0.000000,0.663315,38.005160,0
115,115,50.000000,-140.000000,-190.000000,-30.000000,-100.000000,-59.530528,-122.818483,0.000000,0.664946,38.098611,0
116,116,50.000000,-140.000000,-190.000000,-30.000000,-100.000000,-58.691361,-122.233903,0.000000,0.666525,38.189048,0
117,117,50.000000,-140.000000,-190.000000,-30.000000,-100.000000,-57.853349,-121.646862,0.000000,0.668050,38.276470,0
118,118,50.000000,-140.000000,-190.000000,-30.000000,-100.000000,-57.016540,-121.057410,0.000000,0.669524,38.360887,0
119,119,50.000000,-140.000000,-190.000000,-30.000000,-100.000000,-56.180978,-120.465599,0.000000,0.670945,38.442310,0
120,120,50.000000,-140.000000,-190.000000,-30.000000,-100.000000,-55.346704,-119.871485,0.000000,0.672314,38.520761,0
121,121,50.000000,-140.000000,-190.000000,-30.000000,-100.000000,-54.513754,-119.275126,0.000000,0.673632,38.596264,0
122,122,50.000000,-140.000000,-190.000000,-30.000000,-100.000000,-53.682159,-118.676584,0.000000,0.674899,38.668850,0
123,123,50.000000,-140.000000,-190.000000,-30.000000,-100.000000,-52.851949,-118.075922,0.000000,0.676115,38.738553,0
124,124,50.000000,-140.000000,-190.000000,-30.000000,-100.000000,-52.023147,-117.473207,0.000000,0.677282,38.805414,0
125,125,50.000000,-140.000000,-190.000000,-30.000000,-100.000000,-51.195775,-116.868503,0.000000,0.678400,38.869477,0
126,126,50.000000,-140.000000,-190.000000,-30.000000,-100.000000,-50.369850,-116.261880,0.000000,0.679470,38.930788,0
127,127,50.000000,-140.000000,-190.000000,-30.000000,-100.000000,-49.545385,-115.653407,0.000000,0.680493,38.989400,0
128,128,50.000000,-140.000000,-190.000000,-30.000000,-100.000000,-48.722390,-115.043154,0.000000,0.681470,39.045367,0
129,129,50.000000,-30.000000,-100.000000,-10.000000,-50.000000,-47.900873,-114.431190,0.000000,0.968767,55.506282,0
130,130,50.000000,-30.000000,-100.000000,-10.000000,-50.000000,-47.080835,-113.817586,0.000000,0.978945,56.089428,0
131,131,50.000000,-30.000000,-100.000000,-10.000000,-50.000000,-46.321967,-113.247825,0.000000,0.988390,56.630569,0
132,132,50.000000,-30.000000,-100.000000,-10.000000,-50.000000,-45.618117,-112.717670,0.000000,0.997170,57.133658,0
133,133,50.000000,-30.000000,-100.000000,-10.000000,-50.000000,-44.964612,-112.222170,0.000000,1.005327,57.600974,0
134,134,50.000000,-30.000000,-100.000000,-10.000000,-50.000000,-44.355641,-111.756179,0.000000,1.012919,58.035976,0
135,135,50.000000,-30.000000,-100.000000,-10.000000,-50.000000,-43.785991,-111.315263,0.000000,1.020003,58.441894,0
136,136,50.000000,-30.000000,-100.000000,-10.000000,-50.000000,-43.251000,-110.895598,0.000000,1.026632,58.821708,0
137,137,50.000000,-30.000000,-100.000000,-10.000000,-50.000000,-42.746530,-110.493895,0.000000,1.032853,59.178136,0
138,138,50.000000,-30.000000,-100.000000,-10.000000,-50.000000,-42.268921,-110.107320,0.000000,1.038709,59.513631,0
139,139,50.000000,-30.000000,-100.000000,-10.000000,-50.000000,-41.814953,-109.733438,0.000000,1.044237,59.830395,0
140,140,50.000000,-30.000000,-100.000000,-10.000000,-50.000000,-41.381808,-109.370161,0.000000,1.049473,60.130380,0
141,141,50.000000,-30.000000,-100.000000,-10.000000,-50.000000,-40.967031,-109.015706,0.000000,1.054446,60.415311,0
142,142,50.000000,-30.000000,-100.000000,-10.000000,-50.000000,-40.568496,-108.668552,0.000000,1.059183,60.686698,0
143,143,50.000000,-30.000000,-100.000000,-10.000000,-50.000000,-40.184369,-108.327412,0.000000,1.063706,60.945859,0
144,144,50.000000,-30.000000,-100.000000,-10.000000,-50.000000,-39.813076,-107.991202,0.000000,1.068036,61.193932,0
145,145,50.000000,-30.000000,-100.000000,-10.000000,-50.000000,-39.453277,-107.659016,0.000000,1.072189,61.431899,0
146,146,50.000000,-30.000000,-100.000000,-10.000000,-50.000000,-39.103832,-107.330106,0.000000,1.076181,61.660604,0
147,147,50.000000,-30.000000,-100.000000,-10.000000,-50.000000,-38.763782,-107.003863,0.000000,1.080023,61.880765,0
148,148,50.000000,-30.000000,-100.000000,-10.000000,-50.000000,-38.432320,-106.679797,0.000000,1.083727,62.092993,0
149,149,50.000000,-30.000000,-100.000000,-10.000000,-50.000000,-38.108777,-106.357522,0.000000,1.087302,62.297810,0
150,150,50.000000,-30.000000,-100.000000,-10.000000,-50.000000,-37.792594,-106.036744,0.000000,1.090755,62.495654,0
151,151,50.000000,-30.000000,-100.000000,-10.000000,-50.000000,-37.483315,-105.717249,0.000000,1.094093,62.686898,0
152,152,50.000000,-30.000000,-100.000000,-10.000000,-50.000000,-37.180565,-105.398888,0.000000,1.097321,62.871858,0
153,153,50.000000,-30.000000,-100.000000,-10.000000,-50.000000,-36.884038,-105.081570,0.000000,1.100444,63.050800,0
154,154,50.000000,-30.000000,-100.000000,-10.000000,-50.000000,-36.593488,-104.765251,0.000000,1.103466,63.223954,0
155,155,50.000000,-30.000000,-100.000000,-10.000000,-50.000000,-36.308717,-104.449927,0.000000,1.106391,63.391515,0
156,156,50.000000,-30.000000,-100.000000,-10.000000,-50.000000,-36.029566,-104.135627,0.000000,1.109220,63.553651,0
157,157,50.000000,-30.000000,-100.000000,-10.000000,-50.000000,-35.755906,-103.822403,0.000000,1.111958,63.710510,0
158,158,50.000000,-30.000000,-100.000000,-10.000000,-50.000000,-35.487634,-103.510328,0.000000,1.114606,63.862222,0
159,159,50.000000,-30.000000,-100.000000,-10.000000,-50.000000,-35.224665,-103.199488,0.000000,1.117166,64.008906,0
160,160,50.000000,-30.000000,-100.000000,-10.000000,-50.000000,-34.966931,-102.889980,0.000000,1.119640,64.150668,0
161,161,50.000000,-30.000000,-100.000000,-10.000000,-50.000000,-34.714371,-102.581906,0.000000,1.122030,64.287607,0
162,162,50.000000,-30.000000,-100.000000,-10.000000,-50.000000,-34.466932,-102.275369,0.000000,1.124338,64.419817,0
163,163,50.000000,-30.000000,-100.000000,-10.000000,-50.000000,-34.224565,-101.970473,0.000000,1.126564,64.547389,0
164,164,50.000000,-30.000000,-100.000000,-10.000000,-50.000000,-33.987222,-101.667318,0.000000,1.128712,64.670409,0
165,165,50.000000,-30.000000,-100.000000,-10.000000,-50.000000,-33.754855,-101.365998,0.000000,1.130781,64.788966,0
166,166,50.000000,-30.000000,-100.000000,-10.000000,-50.000000,-33.527414,-101.066602,0.000000,1.132774,64.903143,0
167,167,50.000000,-30.000000,-100.000000,-10.000000,-50.000000,-33.304846,-100.769210,0.000000,1.134691,65.013028,0
168,168,50.000000,-30.000000,-100.000000,-10.000000,-50.000000,-33.087094,-100.473892,0.000000,1.136536,65.118708,0
169,169,50.000000,-30.000000,-100.000000,-10.000000,-50.000000,-32.874096,-100.180710,0.000000,1.138308,65.220271,0
170,170,50.000000,-30.000000,-100.000000,-10.000000,-50.000000,-32.665786,-99.889716,0.000000,1.140011,65.317807,0
171,171,50.000000,-30.000000,-100.000000,-10.000000,-50.000000,-32.462090,-99.600951,0.000000,1.141644,65.411407,0
172,172,50.000000,-30.000000,-100.000000,-10.000000,-50.000000,-32.262932,-99.314445,0.000000,1.143211,65.501166,0
173,173,50.000000,-30.000000,-100.000000,-10.000000,-50.000000,-32.068227,-99.030220,0.000000,1.144712,65.587177,0
174,174,50.000000,-30.000000,-100.000000,-10.000000,-50.000000,-31.877886,-98.748288,0.000000,1.146150,65.669539,0
175,175,50.000000,-30.000000,-100.000000,-10.000000,-50.000000,-31.691817,-98.468649,0.000000,1.147525,65.748350,0
176,176,50.000000,-30.000000,-100.000000,-10.000000,-50.000000,-31.509919,-98.191296,0.000000,1.148840,65.823712,0
177,177,50.000000,-30.000000,-100.000000,-10.000000,-50.000000,-31.332089,-97.916215,0.000000,1.150097,65.895725,0
178,178,50.000000,-30.000000,-100.000000,-10.000000,-50.000000,-31.158219,-97.643382,0.000000,1.151298,65.964495,0
179,179,50.000000,-30.000000,-100.000000,-10.000000,-50.000000,-30.988196,-97.372767,0.000000,1.152443,66.030125,0
180,180,50.000000,-30.000000,-100.000000,-10.000000,-50.000000,-30.821906,-97.104332,0.000000,1.153536,66.092723,0
181,181,50.000000,-30.000000,-100.000000,-10.000000,-50.000000,-30.659229,-96.838035,0.000000,1.154577,66.152394,0
182,182,50.000000,-30.000000,-100.000000,-10.000000,-50.000000,-30.500045,-96.573828,0.000000,1.155569,66.209246,0
183,183,50.000000,-30.000000,-100.000000,-10.000000,-50.000000,-30.344231,-96.311658,0.000000,1.156514,66.263386,0
184,184,50.000000,-30.000000,-100.000000,-10.000000,-50.000000,-30.191663,-96.051468,0.000000,1.157414,66.314923,0
185,185,50.000000,-30.000000,-100.000000,-10.000000,-50.000000,-30.042213,-95.793199,0.000000,1.158270,66.363964,0
186,186,50.000000,-30.000000,-100.000000,-10.000000,-50.000000,-29.895757,-95.536788,0.000000,1.159084,66.410616,0
