Time,StepCount,V_current,psi_current_deg,ramp_duration,psi,u_current,v_current,r_current,enable_ramp
0,0,1.000000,60.000000,50.000000,0.000000,0.000000,0.000000,0.000000,1
1,1,1.000000,60.000000,50.000000,0.610865,-0.000000,-0.000000,0.000000,1
2,2,1.000000,60.000000,50.000000,0.610865,-0.001743,-0.019924,0.000000,1
3,3,1.000000,60.000000,50.000000,0.608774,-0.003403,-0.039855,0.000000,1
4,4,1.000000,60.000000,50.000000,0.604657,-0.004858,-0.059803,0.000000,1
5,5,1.000000,60.000000,50.000000,0.601414,-0.006219,-0.079758,0.000000,1
6,6,1.000000,60.000000,50.000000,0.598981,-0.007531,-0.099716,0.000000,1
7,7,1.000000,60.000000,50.000000,0.597294,-0.008835,-0.119674,0.000000,1
8,8,1.000000,60.000000,50.000000,0.596287,-0.010167,-0.139630,0.000000,1
9,9,1.000000,60.000000,50.000000,0.595896,-0.011557,-0.159582,0.000000,1
10,10,1.000000,60.000000,50.000000,0.596059,-0.013031,-0.179528,0.000000,1
11,11,1.000000,60.000000,50.000000,0.596716,-0.014610,-0.199466,0.000000,1
12,12,1.000000,60.000000,50.000000,0.597808,-0.016311,-0.219395,0.000000,1
13,13,1.000000,60.000000,50.000000,0.599279,-0.018146,-0.239313,0.000000,1
14,14,1.000000,60.000000,50.000000,0.601076,-0.020124,-0.259220,0.000000,1
15,15,1.000000,60.000000,50.000000,0.603148,-0.022250,-0.279115,0.000000,1
16,16,1.000000,60.000000,50.000000,0.605446,-0.024527,-0.298996,0.000000,1
17,17,1.000000,60.000000,50.000000,0.607926,-0.026953,-0.318863,0.000000,1
18,18,1.000000,60.000000,50.000000,0.610543,-0.029524,-0.338716,0.000000,1
19,19,1.000000,60.000000,50.000000,0.613257,-0.032234,-0.358554,0.000000,1
20,20,1.000000,60.000000,50.000000,0.616031,-0.035074,-0.378378,0.000000,1
21,21,1.000000,60.000000,50.000000,0.618831,-0.038035,-0.398188,0.000000,1
22,22,1.000000,60.000000,50.000000,0.621622,-0.041104,-0.417984,0.000000,1
23,23,1.000000,60.000000,50.000000,0.624377,-0.044267,-0.437768,0.000000,1
24,24,1.000000,60.000000,50.000000,0.627067,-0.047511,-0.457540,0.000000,1
25,25,1.000000,60.000000,50.000000,0.629668,-0.050818,-0.477302,0.000000,1
26,26,1.000000,60.000000,50.000000,0.632157,-0.054172,-0.497057,0.000000,1
27,27,1.000000,60.000000,50.000000,0.634514,-0.057558,-0.516805,0.000000,1
28,28,1.000000,60.000000,50.000000,0.636721,-0.060956,-0.536549,0.000000,1
29,29,1.000000,60.000000,50.000000,0.638762,-0.064349,-0.556291,0.000000,1
30,30,1.000000,60.000000,50.000000,0.640625,-0.067720,-0.576033,0.000000,1
31,31,1.000000,60.000000,50.000000,0.642296,-0.071051,-0.595778,0.000000,1
32,32,1.000000,60.000000,50.000000,0.643766,-0.074325,-0.615529,0.000000,1
33,33,1.000000,60.000000,50.000000,0.645027,-0.077523,-0.635287,0.000000,1
34,34,1.000000,60.000000,50.000000,0.646073,-0.080631,-0.655056,0.000000,1
35,35,1.000000,60.000000,50.000000,0.646898,-0.083631,-0.674838,0.000000,1
36,36,1.000000,60.000000,50.000000,0.647500,-0.086509,-0.694634,0.000000,1
37,37,1.000000,60.000000,50.000000,0.647877,-0.089250,-0.714447,0.000000,1
38,38,1.000000,60.000000,50.000000,0.648027,-0.091840,-0.734279,0.000000,1
39,39,1.000000,60.000000,50.000000,0.647952,-0.094265,-0.754131,0.000000,1
40,40,1.000000,60.000000,50.000000,0.647654,-0.096515,-0.774006,0.000000,1
41,41,1.000000,60.000000,50.000000,0.647136,-0.098578,-0.793903,0.000000,1
42,42,1.000000,60.000000,50.000000,0.646400,-0.100444,-0.813825,0.000000,1
43,43,1.000000,60.000000,50.000000,0.645453,-0.102104,-0.833771,0.000000,1
44,44,1.000000,60.000000,50.000000,0.644299,-0.103551,-0.853743,0.000000,1
45,45,1.000000,60.000000,50.000000,0.642945,-0.104776,-0.873740,0.000000,1
46,46,1.000000,60.000000,50.000000,0.641398,-0.105775,-0.893763,0.000000,1
47,47,1.000000,60.000000,50.000000,0.639665,-0.106542,-0.913810,0.000000,1
48,48,1.000000,60.000000,50.000000,0.637755,-0.107074,-0.933882,0.000000,1
49,49,1.000000,60.000000,50.000000,0.635674,-0.107368,-0.953977,0.000000,1
50,50,1.000000,60.000000,50.000000,0.633433,-0.107422,-0.974095,0.000000,1
51,51,1.000000,60.000000,50.000000,0.631041,-0.107235,-0.994234,0.000000,1
52,52,1.000000,60.000000,50.000000,0.628506,-0.104715,-0.994502,0.000000,1
53,53,1.000000,60.000000,50.000000,0.625838,-0.102061,-0.994778,0.000000,1
54,54,1.000000,60.000000,50.000000,0.623046,-0.099283,-0.995059,0.000000,1
55,55,1.000000,60.000000,50.000000,0.620143,-0.096395,-0.995343,0.000000,1
56,56,1.000000,60.000000,50.000000,0.617142,-0.093407,-0.995628,0.000000,1
57,57,1.000000,60.000000,50.000000,0.614056,-0.090334,-0.995912,0.000000,1
58,58,1.000000,60.000000,50.000000,0.610901,-0.087192,-0.996192,0.000000,1
59,59,1.000000,60.000000,50.000000,0.607695,-0.083997,-0.996466,0.000000,1
60,60,1.000000,60.000000,50.000000,0.604454,-0.080767,-0.996733,0.000000,1
61,61,1.000000,60.000000,50.000000,0.601197,-0.077520,-0.996991,0.000000,1
62,62,1.000000,60.000000,50.000000,0.597942,-0.074274,-0.997238,0.000000,1
63,63,1.000000,60.000000,50.000000,0.594706,-0.071047,-0.997473,0.000000,1
64,64,1.000000,60.000000,50.000000,0.591507,-0.067856,-0.997695,0.000000,1
65,65,1.000000,60.000000,50.000000,0.588362,-0.064718,-0.997904,0.000000,1
66,66,1.000000,60.000000,50.000000,0.585288,-0.061650,-0.998098,0.000000,1
67,67,1.000000,60.000000,50.000000,0.582299,-0.058667,-0.998278,0.000000,1
68,68,1.000000,60.000000,50.000000,0.579411,-0.055783,-0.998443,0.000000,1
