Time,StepCount,V_wind,psi_wind_deg,ramp_duration,psi,u,v,tau_wind_surge,tau_wind_sway,tau_wind_yaw,enable_ramp
0,0,4.000000,40.000000,50.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1
1,1,4.000000,40.000000,50.000000,0.610865,0.000000,0.000000,-0.000000,-0.000000,-0.000000,1
2,2,4.000000,40.000000,50.000000,0.610865,0.100889,0.002764,-0.867404,-9.921669,-772.251409,1
3,3,4.000000,40.000000,50.000000,0.608774,0.190800,0.028229,-3.326190,-46.712981,-3783.121916,1
4,4,4.000000,40.000000,50.000000,0.604657,0.271546,0.023413,-6.474791,-90.909896,-7362.143171,1
5,5,4.000000,40.000000,50.000000,0.601414,0.344051,0.017084,-10.130538,-146.231036,-11903.347023,1
6,6,4.000000,40.000000,50.000000,0.598981,0.409159,0.009391,-14.046274,-210.926478,-17294.552765,1
7,7,4.000000,40.000000,50.000000,0.597294,0.467621,0.000470,-18.042045,-283.579820,-23443.424217,1
8,8,4.000000,40.000000,50.000000,0.596287,0.520105,-0.009559,-21.990712,-363.067518,-30275.427642,1
9,9,4.000000,40.000000,50.000000,0.595896,0.567210,-0.020584,-25.806076,-448.522355,-37732.033192,1
10,10,4.000000,40.000000,50.000000,0.596059,0.609471,-0.032505,-29.433137,-539.299659,-45769.031005,1
11,11,4.000000,40.000000,50.000000,0.596716,0.647366,-0.045234,-32.840137,-634.944978,-54354.845167,1
12,12,4.000000,40.000000,50.000000,0.597808,0.681325,-0.058689,-36.012085,-735.162844,-63468.801447,1
13,13,4.000000,40.000000,50.000000,0.599279,0.711729,-0.072797,-38.945591,-839.786901,-73099.363912,1
14,14,4.000000,40.000000,50.000000,0.601076,0.738923,-0.087491,-41.644809,-948.752028,-83242.391808,1
15,15,4.000000,40.000000,50.000000,0.603148,0.763214,-0.102713,-44.118352,-1062.069115,-93899.481112,1
16,16,4.000000,40.000000,50.000000,0.605446,0.784878,-0.118409,-46.376999,-1179.802998,-105076.450234,1
17,17,4.000000,40.000000,50.000000,0.607926,0.804162,-0.134530,-48.432063,-1302.053855,-116782.013639,1
18,18,4.000000,40.000000,50.000000,0.610543,0.821290,-0.151033,-50.294276,-1428.942067,-129026.667508,1
19,19,4.000000,40.000000,50.000000,0.613257,0.836463,-0.167878,-51.973068,-1560.596382,-141821.792851,1
20,20,4.000000,40.000000,50.000000,0.616031,0.849861,-0.185030,-53.476137,-1697.145059,-155178.966481,1
21,21,4.000000,40.000000,50.000000,0.618831,0.861649,-0.202458,-54.809233,-1838.709574,-169109.459968,1
22,22,4.000000,40.000000,50.000000,0.621622,0.871973,-0.220131,-55.976084,-1985.400470,-183623.900913,1
23,23,4.000000,40.000000,50.000000,0.624377,0.880969,-0.238025,-56.978419,-2137.314931,-198732.068794,1
24,24,4.000000,40.000000,50.000000,0.627067,0.888758,-0.256116,-57.816052,-2294.535683,-214442.798133,1
25,25,4.000000,40.000000,50.000000,0.629668,0.895452,-0.274384,-58.486999,-2457.130906,-230763.963994,1
26,26,4.000000,40.000000,50.000000,0.632157,0.901153,-0.292810,-58.987616,-2625.154870,-247702.527911,1
27,27,4.000000,40.000000,50.000000,0.634514,0.905952,-0.311378,-59.312745,-2798.649074,-265264.625782,1
28,28,4.000000,40.000000,50.000000,0.636721,0.909936,-0.330072,-59.455859,-2977.643692,-283455.682671,1
29,29,4.000000,40.000000,50.000000,0.638762,0.913183,-0.348881,-59.409205,-3162.159215,-302280.542526,1
30,30,4.000000,40.000000,50.000000,0.640625,0.915766,-0.367792,-59.163946,-3352.208153,-321743.603579,1
31,31,4.000000,40.000000,50.000000,0.642296,0.917750,-0.386795,-58.710290,-3547.796740,-341848.952457,1
32,32,4.000000,40.000000,50.000000,0.643766,0.919200,-0.405881,-58.037614,-3748.926577,-362600.491934,1
33,33,4.000000,40.000000,50.000000,0.645027,0.920171,-0.425042,-57.134589,-3955.596173,-384002.058748,1
34,34,4.000000,40.000000,50.000000,0.646073,0.920718,-0.444273,-55.989288,-4167.802363,-406057.529132,1
35,35,4.000000,40.000000,50.000000,0.646898,0.920890,-0.463566,-54.589297,-4385.541575,-428770.910566,1
36,36,4.000000,40.000000,50.000000,0.647500,0.920735,-0.482918,-52.921809,-4608.810952,-452146.419036,1
37,37,4.000000,40.000000,50.000000,0.647877,0.920295,-0.502323,-50.973727,-4837.609313,-476188.541527,1
38,38,4.000000,40.000000,50.000000,0.648027,0.919611,-0.521778,-48.731745,-5071.937954,-500902.083941,1
39,39,4.000000,40.000000,50.000000,0.647952,0.918722,-0.541281,-46.182439,-5311.801301,-526292.204851,1
40,40,4.000000,40.000000,50.000000,0.647654,0.917663,-0.560828,-43.312337,-5557.207412,-552364.435765,1
41,41,4.000000,40.000000,50.000000,0.647136,0.916467,-0.580417,-40.107996,-5808.168338,-579124.688681,1
42,42,4.000000,40.000000,50.000000,0.646400,0.915167,-0.600047,-36.556070,-6064.700350,-606579.251845,1
43,43,4.000000,40.000000,50.000000,0.645453,0.913790,-0.619716,-32.643368,-6326.824048,-634734.774690,1
44,44,4.000000,40.000000,50.000000,0.644299,0.912364,-0.639423,-28.356916,-6594.564351,-663598.243010,1
45,45,4.000000,40.000000,50.000000,0.642945,0.910915,-0.659168,-23.684009,-6867.950388,-693176.945443,1
46,46,4.000000,40.000000,50.000000,0.641398,0.909467,-0.678948,-18.612258,-7147.015298,-723478.432378,1
47,47,4.000000,40.000000,50.000000,0.639665,0.908041,-0.698763,-13.129640,-7431.795949,-754510.468433,1
48,48,4.000000,40.000000,50.000000,0.637755,0.906658,-0.718613,-7.224538,-7722.332594,-786280.979641,1
49,49,4.000000,40.000000,50.000000,0.635674,0.905338,-0.738497,-0.885781,-8018.668463,-818797.996514,1
50,50,4.000000,40.000000,50.000000,0.633433,0.904096,-0.758414,5.361204,-8320.852805,-852069.950790,1
51,51,4.000000,40.000000,50.000000,0.631041,0.902950,-0.778364,11.940880,-8628.939645,-886105.540799,1
52,52,4.000000,40.000000,50.000000,0.628506,0.901913,-0.798346,14.238130,-8506.272020,-874470.084007,1
53,53,4.000000,40.000000,50.000000,0.625838,0.900999,-0.818359,16.585375,-8383.811684,-862875.125900,1
54,54,4.000000,40.000000,50.000000,0.623046,0.900428,-0.836391,18.937280,-8272.522246,-852422.905784,1
55,55,4.000000,40.000000,50.000000,0.620143,0.900180,-0.852642,21.290632,-8171.174557,-842986.579220,1
56,56,4.000000,40.000000,50.000000,0.617142,0.900235,-0.867291,23.641933,-8078.684250,-834453.980097,1
57,57,4.000000,40.000000,50.000000,0.614056,0.900573,-0.880498,25.985692,-7994.106529,-826726.425082,1
58,58,4.000000,40.000000,50.000000,0.610901,0.901177,-0.892408,28.314908,-7916.617012,-819716.945826,1
59,59,4.000000,40.000000,50.000000,0.607695,0.902027,-0.903152,30.621521,-7845.495536,-813348.813163,1
60,60,4.000000,40.000000,50.000000,0.604454,0.903107,-0.912846,32.896788,-7780.112276,-807554.266970,1
61,61,4.000000,40.000000,50.000000,0.601197,0.904399,-0.921594,35.131593,-7719.915827,-802273.420470,1
62,62,4.000000,40.000000,50.000000,0.597942,0.905884,-0.929491,37.316698,-7664.422956,-797453.312776,1
63,63,4.000000,40.000000,50.000000,0.594706,0.907546,-0.936621,39.442951,-7613.209763,-793047.087562,1
64,64,4.000000,40.000000,50.000000,0.591507,0.909366,-0.943061,41.501454,-7565.904049,-789013.279130,1
65,65,4.000000,40.000000,50.000000,0.588362,0.911327,-0.948877,43.483696,-7522.178717,-785315.190030,1
66,66,4.000000,40.000000,50.000000,0.585288,0.913411,-0.954132,45.381658,-7481.746044,-781920.346764,1
67,67,4.000000,40.000000,50.000000,0.582299,0.915601,-0.958880,47.187896,-7444.352704,-778800.022193,1
68,68,4.000000,40.000000,50.000000,0.579411,0.917879,-0.963171,48.895601,-7409.775428,-775928.814978,1
69,69,4.000000,40.000000,50.000000,0.576637,0.920227,-0.967049,50.498642,-7377.817216,-773284.277903,1
70,70,4.000000,40.000000,50.000000,0.573990,0.922629,-0.970554,51.991597,-7348.304022,-770846.588209,1
71,71,4.000000,40.000000,50.000000,0.571480,0.925068,-0.973722,53.369765,-7321.081830,-768598.254154,1
72,72,4.000000,40.000000,50.000000,0.569119,0.927527,-0.976586,54.629175,-7296.014098,-766523.852962,1
73,73,4.000000,40.000000,50.000000,0.566916,0.929991,-0.979174,55.766579,-7272.979493,-764609.796101,1
74,74,4.000000,40.000000,50.000000,0.564879,0.932445,-0.981514,56.779440,-7251.869889,-762844.118522,1
75,75,4.000000,40.000000,50.000000,0.563014,0.934873,-0.983628,57.665916,-7232.588601,-761216.289018,1
76,76,4.000000,40.000000,50.000000,0.561328,0.937263,-0.985538,58.424831,-7215.048820,-759717.039362,1
77,77,4.000000,40.000000,50.000000,0.559826,0.939599,-0.987264,59.055651,-7199.172223,-758338.210229,1
