Var1,Var2,Pearson,Distance_Correlation,DTW,HSIC
r1x,r2x,0.9999999999999998,1.0,DTW alignment object of size (query x reference): 4970 x 4970,1.0
r1x,r3x,0.9640772151715533,0.9617057354719497,DTW alignment object of size (query x reference): 4970 x 4970,0.9122495779902777
r1x,v1x,-0.035736876439069004,0.09035768990506474,DTW alignment object of size (query x reference): 4970 x 4970,0.009313567311832275
r1x,v2x,-0.03573687643906931,0.09035768990506537,DTW alignment object of size (query x reference): 4970 x 4970,0.009313567311832515
r1x,v3x,0.035736876439071134,0.09035768990506453,DTW alignment object of size (query x reference): 4970 x 4970,0.009313567311832041
r1x,r1y,0.9843071393298044,0.9829527225636364,DTW alignment object of size (query x reference): 4970 x 4970,0.9614360422285976
r1x,r2y,0.9843071393298044,0.9829527225636362,DTW alignment object of size (query x reference): 4970 x 4970,0.9614360422285976
r1x,r3y,0.9901140851995243,0.9893619218393558,DTW alignment object of size (query x reference): 4970 x 4970,0.9751542927358442
r1x,v1y,0.014228047615817814,0.04598557693532452,DTW alignment object of size (query x reference): 4970 x 4970,0.0006100792637888485
r1x,v2y,0.01422804761581797,0.045985576935324374,DTW alignment object of size (query x reference): 4970 x 4970,0.0006100792637888676
r1x,v3y,-0.014228047615819996,0.04598557693532515,DTW alignment object of size (query x reference): 4970 x 4970,0.000610079263788997
r2x,r3x,0.9640772151715532,0.9617057354719493,DTW alignment object of size (query x reference): 4970 x 4970,0.9122495779902782
r2x,v1x,-0.03573687643906902,0.09035768990506471,DTW alignment object of size (query x reference): 4970 x 4970,0.009313567311832211
r2x,v2x,-0.03573687643906928,0.09035768990506533,DTW alignment object of size (query x reference): 4970 x 4970,0.009313567311832442
r2x,v3x,0.0357368764390711,0.09035768990506457,DTW alignment object of size (query x reference): 4970 x 4970,0.009313567311832015
r2x,r1y,0.9843071393298044,0.9829527225636364,DTW alignment object of size (query x reference): 4970 x 4970,0.9614360422285975
r2x,r2y,0.9843071393298043,0.9829527225636362,DTW alignment object of size (query x reference): 4970 x 4970,0.9614360422285977
r2x,r3y,0.9901140851995243,0.989361921839356,DTW alignment object of size (query x reference): 4970 x 4970,0.975154292735844
r2x,v1y,0.01422804761581781,0.045985576935324526,DTW alignment object of size (query x reference): 4970 x 4970,0.0006100792637888711
r2x,v2y,0.014228047615817956,0.04598557693532445,DTW alignment object of size (query x reference): 4970 x 4970,0.0006100792637888878
r2x,v3y,-0.014228047615819965,0.04598557693532519,DTW alignment object of size (query x reference): 4970 x 4970,0.000610079263788948
r3x,v1x,-0.0397654520059181,0.08638599864845284,DTW alignment object of size (query x reference): 4970 x 4970,0.007440839725132131
r3x,v2x,-0.03976545200591835,0.08638599864845342,DTW alignment object of size (query x reference): 4970 x 4970,0.007440839725132274
r3x,v3x,0.03976545200592013,0.08638599864845253,DTW alignment object of size (query x reference): 4970 x 4970,0.0074408397251320806
r3x,r1y,0.9900573649471385,0.9893739333118978,DTW alignment object of size (query x reference): 4970 x 4970,0.975860411369154
r3x,r2y,0.9900573649471383,0.9893739333118977,DTW alignment object of size (query x reference): 4970 x 4970,0.9758604113691537
r3x,r3y,0.9822228240352933,0.9810002832237228,DTW alignment object of size (query x reference): 4970 x 4970,0.956593774909606
r3x,v1y,0.016759349145428763,0.047327544573747694,DTW alignment object of size (query x reference): 4970 x 4970,0.0007250942092665115
r3x,v2y,0.016759349145429016,0.04732754457374767,DTW alignment object of size (query x reference): 4970 x 4970,0.0007250942092664923
r3x,v3y,-0.01675934914543061,0.047327544573748326,DTW alignment object of size (query x reference): 4970 x 4970,0.0007250942092666141
v1x,v2x,0.9999999999999999,0.9999999999999999,DTW alignment object of size (query x reference): 4970 x 4970,1.0000000000000002
v1x,v3x,-0.9999999999999998,1.0,DTW alignment object of size (query x reference): 4970 x 4970,0.9999999999999992
v1x,r1y,-0.03696796523305569,0.09866676263546631,DTW alignment object of size (query x reference): 4970 x 4970,0.008437439046805911
v1x,r2y,-0.036967965233055636,0.09866676263546628,DTW alignment object of size (query x reference): 4970 x 4970,0.008437439046805878
v1x,r3y,-0.03891110528590268,0.08411871316116777,DTW alignment object of size (query x reference): 4970 x 4970,0.006223721219260178
v1x,v1y,-0.04300856716120793,0.19877296769477398,DTW alignment object of size (query x reference): 4970 x 4970,0.03731340773147164
v1x,v2y,-0.04300856716120777,0.19877296769477398,DTW alignment object of size (query x reference): 4970 x 4970,0.03731340773147133
v1x,v3y,0.0430085671612083,0.19877296769477446,DTW alignment object of size (query x reference): 4970 x 4970,0.03731340773147169
v2x,v3x,-1.0,0.9999999999999996,DTW alignment object of size (query x reference): 4970 x 4970,1.0000000000000029
v2x,r1y,-0.0369679652330559,0.09866676263546686,DTW alignment object of size (query x reference): 4970 x 4970,0.00843743904680586
v2x,r2y,-0.03696796523305586,0.09866676263546684,DTW alignment object of size (query x reference): 4970 x 4970,0.008437439046805835
v2x,r3y,-0.038911105285903004,0.08411871316116824,DTW alignment object of size (query x reference): 4970 x 4970,0.0062237212192601
v2x,v1y,-0.043008567161207406,0.1987729676947737,DTW alignment object of size (query x reference): 4970 x 4970,0.03731340773147111
v2x,v2y,-0.0430085671612072,0.19877296769477365,DTW alignment object of size (query x reference): 4970 x 4970,0.03731340773147107
v2x,v3y,0.04300856716120775,0.19877296769477412,DTW alignment object of size (query x reference): 4970 x 4970,0.03731340773147109
v3x,r1y,0.036967965233057745,0.09866676263546614,DTW alignment object of size (query x reference): 4970 x 4970,0.008437439046805512
v3x,r2y,0.03696796523305773,0.0986667626354661,DTW alignment object of size (query x reference): 4970 x 4970,0.008437439046805531
v3x,r3y,0.03891110528590476,0.08411871316116751,DTW alignment object of size (query x reference): 4970 x 4970,0.006223721219259692
v3x,v1y,0.04300856716120692,0.1987729676947736,DTW alignment object of size (query x reference): 4970 x 4970,0.037313407731470405
v3x,v2y,0.04300856716120673,0.19877296769477343,DTW alignment object of size (query x reference): 4970 x 4970,0.037313407731469975
v3x,v3y,-0.04300856716120728,0.19877296769477418,DTW alignment object of size (query x reference): 4970 x 4970,0.03731340773146996
r1y,r2y,0.9999999999999998,1.0,DTW alignment object of size (query x reference): 4970 x 4970,0.9999999999999997
r1y,r3y,0.9827415291414077,0.983025086558451,DTW alignment object of size (query x reference): 4970 x 4970,0.9601480135434304
r1y,v1y,0.015335647721981188,0.04358782111352983,DTW alignment object of size (query x reference): 4970 x 4970,0.001599725884219374
r1y,v2y,0.01533564772198141,0.04358782111352969,DTW alignment object of size (query x reference): 4970 x 4970,0.001599725884219292
r1y,v3y,-0.01533564772198337,0.04358782111353058,DTW alignment object of size (query x reference): 4970 x 4970,0.0015997258842194
r2y,r3y,0.9827415291414077,0.983025086558451,DTW alignment object of size (query x reference): 4970 x 4970,0.9601480135434297
r2y,v1y,0.01533564772198117,0.043587821113529844,DTW alignment object of size (query x reference): 4970 x 4970,0.0015997258842193396
r2y,v2y,0.015335647721981408,0.043587821113529684,DTW alignment object of size (query x reference): 4970 x 4970,0.0015997258842192893
r2y,v3y,-0.015335647721983356,0.04358782111353056,DTW alignment object of size (query x reference): 4970 x 4970,0.0015997258842194147
r3y,v1y,0.015770183316509687,0.04072959987870938,DTW alignment object of size (query x reference): 4970 x 4970,0.0011939746118636175
r3y,v2y,0.015770183316509874,0.040729599878709326,DTW alignment object of size (query x reference): 4970 x 4970,0.0011939746118635752
r3y,v3y,-0.015770183316511543,0.04072959987871,DTW alignment object of size (query x reference): 4970 x 4970,0.0011939746118637996
v1y,v2y,1.0,0.9999999999999999,DTW alignment object of size (query x reference): 4970 x 4970,0.9999999999999996
v1y,v3y,-1.0,0.9999999999999993,DTW alignment object of size (query x reference): 4970 x 4970,0.9999999999999992
v2y,v3y,-0.9999999999999999,0.9999999999999999,DTW alignment object of size (query x reference): 4970 x 4970,1.0000000000000002
